"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"CAGL23","Callitris glaucophylla Joy Thomps. & L.A.S. Johnson","white cypress-pine",,"Callitris","Gymnosperm"
"CAGL8","Carya glabra (Mill.) Sweet","pignut hickory",,"Carya","Dicot"
"CAGLP","Carex glareosa Schkuhr ex Wahlenb. ssp. pribylovensis (Macoun) Halliday & Chater","lesser saltmarsh sedge",,"Carex","Monocot"
"CAGR25","Callisia graminea (Small) G. Tucker","grassleaf roseling",,"Callisia","Monocot"
"CAGR3","Carex granularis Muhl. ex Willd.","limestone meadow sedge",,"Carex","Monocot"
"CAGR5","Carex grayi Carey","Gray's sedge",,"Carex","Monocot"
"CAGR6","Carex grayi × intumescens [unnamed hybrid]","hybrid bladder sedge",,"Carex","Monocot"
"CAGR8","Carex gracilescens Steud.","slender looseflower sedge",,"Carex","Monocot"
"CAGU","Calochortus gunnisonii S. Watson","Gunnison's mariposa lily",,"Calochortus","Monocot"
"CAGUC","Camissonia guadalupensis (S. Watson) P.H. Raven ssp. clementina (P.H. Raven) P.H. Raven","Clementine suncup",,"Camissonia","Dicot"
"CAGY4","Carex gynandra Schwein.","nodding sedge",,"Carex","Monocot"
"CAHA14","Calylophus hartwegii (Benth.) P.H. Raven","Hartweg's sundrops",,"Calylophus","Dicot"
"CAHA27","Carex ×haematolepis Drejer (pro sp.)","sedge",,"Carex","Monocot"
"CAHA32","Callicladium haldanianum (Grev.) H.A. Crum","callicladium moss",,"Callicladium","Moss"
"CAHA4","Carex harfordii Mack.","Harford's sedge",,"Carex","Monocot"
"CAHA6","Carex haydeniana Olney","cloud sedge",,"Carex","Monocot"
"CAHAF2","Calylophus hartwegii (Benth.) P.H. Raven ssp. filifolius (Eastw.) Towner & P.H. Raven","Hartweg's sundrops",,"Calylophus","Dicot"
"CAHE21","Calystegia hederacea Wall.","Japanese false bindweed",,"Calystegia","Dicot"
"CAHE3","Callitriche heterophylla Pursh","twoheaded water-starwort",,"Callitriche","Dicot"
"CAHI12","Camissonia hilgardii (Greene) P.H. Raven","Hilgard's suncup",,"Camissonia","Dicot"
"CAHO19","Caloplaca holocarpa (Hoffm. ex Ach.) M. Wade","orange lichen",,"Caloplaca","Lichen"
"CAHY3","Carex hyalinolepis Steud.","shoreline sedge",,"Carex","Monocot"
"CAIG2","Camissonia ignota (Jeps.) P.H. Raven","Jurupa Hills suncup",,"Camissonia","Dicot"
