"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"ABAB","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indian mallow",,"Abutilon","Dicot"
"ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir",,"Abies","Gymnosperm"
"ABBA","Abies balsamea (L.) Mill.","balsam fir",,"Abies","Gymnosperm"
"ABEL","Abronia elliptica A. Nelson","fragrant white sand verbena",,"Abronia","Dicot"
"ABGR","Abies grandis (Douglas ex D. Don) Lindl.","grand fir",,"Abies","Gymnosperm"
"ABHU","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve",,"Abutilon","Dicot"
"ABINA","Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.",,,"Abutilon","Dicot"
"ABLAA","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir",,"Abies","Gymnosperm"
"ABMA2","Abronia maritima Nutt. ex S. Watson","red sand verbena",,"Abronia","Dicot"
"ABPA3","Abutilon parvulum A. Gray","dwarf Indian mallow",,"Abutilon","Dicot"
"ABPR3","Abrus precatorius L.","rosarypea",,"Abrus","Dicot"
"ABROM","Abroma Jacq.",,,"Abroma","Dicot"
"ABSA2","Abutilon sandwicense (O. Deg.) Christoph.","greenflower Indian mallow",,"Abutilon","Dicot"
"ABSP","Absconditella sphagnorum Vezda & Poelt","sphagnum absonditella lichen",,"Absconditella","Lichen"
"ABTH","Abutilon theophrasti Medik.","velvetleaf",,"Abutilon","Dicot"
"ABUMB","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena",,"Abronia","Dicot"
"ABUMU","Abronia umbellata Lam. ssp. umbellata ","pink sand verbena",,"Abronia","Dicot"
"ACAC7","Acacia acinacea Lindl.","gold-dust acacia",,"Acacia","Dicot"
"ACAC9","Acacia aculeatissima J.F. Macbr.",,,"Acacia","Dicot"
"ACALY","Acalypha L.","copperleaf",,"Acalypha","Dicot"
"ACAMP","Acamptopappus (A. Gray) A. Gray","goldenhead",,"Acamptopappus","Dicot"
"ACAN2","Acleisanthes anisophylla A. Gray","obliqueleaf trumpets",,"Acleisanthes","Dicot"
"ACANT7","Acanthus L.","acanthus",,"Acanthus","Dicot"
"ACAP","Acarospora applanata H. Magn.","cracked lichen",,"Acarospora","Lichen"
"ACAR9","Acarospora arenosa Herre","cracked lichen",,"Acarospora","Lichen"
"ACCA34","Achnatherum capense (Thunb.) P. Beauv.","Cape ricegrass",,"Achnatherum","Monocot"
"ACCO22","Achnatherum contractum (B.L. Johnson) Barkworth","contracted ricegrass",,"Achnatherum","Monocot"
"ACDA","Acrostichum danaeifolium Langsd. & Fisch.","inland leatherfern",,"Acrostichum","Fern"
"ACDU2","Acanthomintha duttonii (Abrams) Jokerst","San Mateo thorn-mint",,"Acanthomintha","Dicot"
"ACGE5","Acrocordia gemmata (Ach.) A. Massal.","acrocordia lichen",,"Acrocordia","Lichen"
"ACGLD3","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple",,"Acer","Dicot"
"ACGLD4","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple",,"Acer","Dicot"
"ACGLG2","Acer glabrum Torr. var. glabrum ","Rocky Mountain maple",,"Acer","Dicot"
"ACGLT2","Acer glabrum Torr. var. torreyi (Greene) Smiley","Torrey maple",,"Acer","Dicot"
"ACHE10","Achnatherum hendersonii (Vasey) Barkworth","Henderson's needlegrass",,"Achnatherum","Monocot"
"ACHE6","Acarospora heppii (Nageli ex Hepp) Nageli ex Körb.","Hepp's cracked lichen",,"Acarospora","Lichen"
"ACHYR3","Achyronychia Torr. & A. Gray","achyronychia",,"Achyronychia","Dicot"
"ACLA12","Actaea laciniata (S. Watson) J. Compton","Mt. Hood bugbane",,"Actaea","Dicot"
"ACLEP","Achnatherum lemmonii (Vasey) Barkworth var. pubescens (Crampton) Barkworth","pubescent Lemmon's needlegrass",,"Achnatherum","Monocot"
"ACLOS3","Acacia longifolia (Andrews) Willd. ssp. sophorae (Labill.) Court",,,"Acacia","Dicot"
"ACME4","Acrocordia megalospora (Fink) R.C. Harris","acrocordia lichen",,"Acrocordia","Lichen"
"ACMIC","Achillea millefolium L. var. californica (Pollard) Jeps.","California yarrow",,"Achillea","Dicot"
"ACMIO","Achillea millefolium L. var. occidentalis DC.","western yarrow",,"Achillea","Dicot"
"ACMU2","Achyranthes mutica A. Gray","blunt chaff flower",,"Achyranthes","Dicot"
"ACNED","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass",,"Achnatherum","Monocot"
"ACNI6","Acarospora nigromarginata de Lesd.","darkmargin cracked lichen",,"Acarospora","Lichen"
"ACNO6","Acarospora nodulosa (Dufour) Hue","nodule cracked lichen",,"Acarospora","Lichen"
"ACOBC","Acanthomintha obovata Jeps. ssp. cordata Jokerst","heartleaf thorn-mint",,"Acanthomintha","Dicot"
"ACOCP","Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth","pubescent western needlegrass",,"Achnatherum","Monocot"
"ACOD2","Achillea odorata L.",,,"Achillea","Dicot"
"ACPH3","Acalypha phleoides Cav.","shrubby copperleaf",,"Acalypha","Dicot"
"ACPO11","Actaea podocarpa DC.","mountain bugbane",,"Actaea","Dicot"
"ACPU3","Acacia pulchella R. Br.",,,"Acacia","Dicot"
"ACRAR","Actaea racemosa L. var. racemosa ","black bugbane",,"Actaea","Dicot"
"ACRE7","Acarospora reagens Zahlbr.",,,"Acarospora","Lichen"
"ACRU","Acer rubrum L.","red maple",,"Acer","Dicot"
"ACRUD","Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Drummond's maple",,"Acer","Dicot"
"ACRUR","Acer rubrum L. var. rubrum ","red maple",,"Acer","Dicot"
"ACSA10","Acacia salicina Lindl.","cooba",,"Acacia","Dicot"
"ACSA2","Acer saccharinum L.","silver maple",,"Acer","Dicot"
"ACSAS","Acer saccharum Marshall var. saccharum ","sugar maple",,"Acer","Dicot"
"ACSC5","Acarospora schleicheri (Ach.) A. Massal.","Schleicher's cracked lichen",,"Acarospora","Lichen"
"ACSPA2","Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts",,,"Achyranthes","Dicot"
"ACSPS2","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus ","rayless goldenhead",,"Acamptopappus","Dicot"
"ACTA80","Acer tataricum L.","tatarian maple",,"Acer","Dicot"
"ACTU2","Acarospora tucsonensis H. Magn.","Tucson cracked lichen",,"Acarospora","Lichen"
"ACUNU","Aconitum uncinatum L. ssp. uncinatum ","southern blue monkshood",,"Aconitum","Dicot"
"ACVE4","Acarospora veronensis A. Massal.","cracked lichen",,"Acarospora","Lichen"
"ACWI","Acalypha wilkesiana Müll. Arg.","Wilkes' acalypha",,"Acalypha","Dicot"
"ACWR4","Acoelorraphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.","Everglades palm",,"Acoelorraphe","Monocot"
"ADCO","Adiantum concinnum Humb. & Bonpl. ex Willd.","polished maidenhair",,"Adiantum","Fern"
"ADOLP","Adolphia Meisn.","prickbush",,"Adolphia","Dicot"
"ADRI","Adelia ricinella L.","wild lime",,"Adelia","Dicot"
"ADSH","Adiantum shastense Huiet & A.R. Sm.","Shasta maidenhair",,"Adiantum","Fern"
"ADWR","Adenophyllum wrightii A. Gray","Wright's dogweed",,"Adenophyllum","Dicot"
"AEAM","Aeschynomene americana L.","shyleaf",,"Aeschynomene","Dicot"
"AENE2","Aegilops neglecta Req. ex Bertol.","three-awned goatgrass",,"Aegilops","Monocot"
"AESP2","Aegilops speltoides Tausch","goatgrass",,"Aegilops","Monocot"
"AFROC","Afrocarpus (J. Buchholz & E.G. Gray) C.N. Page","yellowwood",,"Afrocarpus","Gymnosperm"
"AGAF","Agapanthus africanus (L.) Hoffsgg.","lily of the Nile",,"Agapanthus","Monocot"
"AGALA","Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ","white snakeroot",,"Ageratina","Dicot"
"AGAPA","Agoseris apargioides (Less.) Greene var. apargioides ","woolly goat chicory",,"Agoseris","Dicot"
"AGAU3","Agalinis auriculata (Michx.) S.F. Blake","earleaf false foxglove",,"Agalinis","Dicot"
"AGAUA","Agoseris aurantiaca (Hook.) Greene var. aurantiaca ","orange agoseris",,"Agoseris","Dicot"
"AGCA5","Agrostis capillaris L.","colonial bentgrass",,"Agrostis","Monocot"
"AGCL3","Agdestis clematidea Moc. & Sessé ex DC.","rockroot",,"Agdestis","Dicot"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","desert wheatgrass",,"Agropyron","Monocot"
"AGDE6","Agalinis densiflora (Benth.) S.F. Blake","Osage false foxglove",,"Agalinis","Dicot"
"AGDE7","Agrostis densiflora Vasey","California bentgrass",,"Agrostis","Monocot"
"AGDED","Agave deserti Engelm. ssp. deserti ","desert agave",,"Agave","Monocot"
"AGEX","Agrostis exarata Trin.","spike bentgrass",,"Agrostis","Monocot"
"AGFA2","Agalinis fasciculata (Elliott) Raf.","beach false foxglove",,"Agalinis","Dicot"
"AGGA","Agalinis gattingeri (Small) Small","roundstem false foxglove",,"Agalinis","Dicot"
"AGGI2","Agrostis gigantea Roth","redtop",,"Agrostis","Monocot"
"AGGLL","Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley","false agoseris",,"Agoseris","Dicot"
"AGHA3","Agalinis harperi Pennell","coastal plain false foxglove",,"Agalinis","Dicot"
"AGHE3","Agrostis hendersonii Hitchc.","Henderson's bentgrass",,"Agrostis","Monocot"
"AGHE7","Aganope heptaphylla (L.) Polhill","sevenleaf aganope",,"Aganope","Dicot"
"AGHO3","Ageratum houstonianum Mill.","bluemink",,"Ageratum","Dicot"
"AGLA10","Agalinis laxa Pennell","twoline false foxglove",,"Agalinis","Dicot"
"AGLI3","Ageratum littorale A. Gray","Cape Sable whiteweed",,"Ageratum","Dicot"
"AGMAM","Agalinis maritima (Raf.) Raf. var. maritima ","saltmarsh false foxglove",,"Agalinis","Dicot"
"AGMI2","Agrimonia microcarpa Wallr.","smallfruit agrimony",,"Agrimonia","Dicot"
"AGMI7","Aglossorrhyncha micronesiaca Schltr.","Micronesian aglossorrhyncha",,"Aglossorrhyncha","Monocot"
"AGNU","Agalinis nuttallii Shinners","Nuttall's false foxglove",,"Agalinis","Dicot"
"AGOB","Agalinis obtusifolia Raf.","tenlobe false foxglove",,"Agalinis","Dicot"
"AGPE","Agrostis perennans (Walter) Tuck.","upland bentgrass",,"Agrostis","Monocot"
"AGPRV","Agastache pringlei (Briq.) Lint & Epling var. verticillata (Wooton & Standl.) R.W. Sanders","Pringle's giant hyssop",,"Agastache","Dicot"
"AGRIM","Agrimonia L.","agrimony",,"Agrimonia","Dicot"
"AGTEM","Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake","slenderleaf false foxglove",,"Agalinis","Dicot"
"AGVA","Agrostis variabilis Rydb.","mountain bentgrass",,"Agrostis","Monocot"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree of heaven",,"Ailanthus","Dicot"
"ALAC4","Allium acuminatum Hook.","tapertip onion",,"Allium","Monocot"
"ALAC8","Allocasuarina acutivalvis (F. Muell.) L.A.S. Johnson",,,"Allocasuarina","Dicot"
"ALAR9","Alyssum argenteum All.",,,"Alyssum","Dicot"
"ALAU6","Alstroemeria aurea Graham","Peruvian-lily",,"Alstroemeria","Monocot"
"ALBE","Alternanthera bettzichiana (Regel) Voss","calicoplant",,"Alternanthera","Dicot"
"ALBI7","Aloina bifrons (De Not.) Delg.","aloina moss",,"Aloina","Moss"
"ALBIP","Allium bisceptrum S. Watson var. palmeri (S. Watson) Cronquist","aspen onion",,"Allium","Monocot"
"ALBOB","Allium bolanderi S. Watson var. bolanderi ","Bolander's onion",,"Allium","Monocot"
"ALBR","Allium brandegeei S. Watson","Brandegee's onion",,"Allium","Monocot"
"ALBR3","Alsophila brooksii (Maxon) R. Tryon","Brooks' alsophila",,"Alsophila","Fern"
"ALBR5","Alternanthera brasiliana (L.) Kuntze","Brazilian joyweed",,"Alternanthera","Dicot"
"ALCA8","Albizia carbonaria Britton","naked albizia",,"Albizia","Dicot"
"ALCAE","Allium canadense L. var. ecristatum (M.E. Jones) Ownbey","meadow garlic",,"Allium","Monocot"
"ALCE","Allium cepa L.","garden onion",,"Allium","Monocot"
"ALCEO","Allium cernuum Roth var. obtusum Cockerell ex J.F. Macbr.","nodding onion",,"Allium","Monocot"
"ALCR4","Allium crenulatum Wiegand","Olympic onion",,"Allium","Monocot"
"ALDE","Alyssum desertorum Stapf","desert madwort",,"Alyssum","Dicot"
"ALDED","Alyssum desertorum Stapf var. desertorum ","desert madwort",,"Alyssum","Dicot"
"ALDI4","Allophyllum divaricatum (Nutt.) A.D. Grant & V.E. Grant","purple false gilyflower",,"Allophyllum","Dicot"
"ALETE","Aletes J.M. Coult. & Rose","Indian parsley",,"Aletes","Dicot"
"ALETR","Aletris L.","colicroot",,"Aletris","Monocot"
"ALFL2","Alectra fluminensis (Vell.) Stearn","yerba de hierro",,"Alectra","Dicot"
"ALJE","Allium jepsonii (Ownbey & Aase) S. Denison & McNeal","Jepson's onion",,"Allium","Monocot"
"ALLAL3","Aliciella latifolia (S. Watson) J.M. Porter ssp. latifolia ","broadleaf gilia",,"Aliciella","Dicot"
"ALLAM","Allamanda L.","allamanda",,"Allamanda","Dicot"
"ALLE3","Allium lemmonii S. Watson","Lemmon's onion",,"Allium","Monocot"
"ALLEN","Allenrolfea Kuntze","allenrolfea",,"Allenrolfea","Dicot"
"ALLO2","Allowissadula lozanii (Rose) D.M. Bates","Lozano's false Indianmallow",,"Allowissadula","Dicot"
"ALLOP","Allophylus L.","allophylus",,"Allophylus","Dicot"
"ALLU3","Allocasuarina luehmannii (R.T. Baker) L.A.S. Johnson","bull-oak",,"Allocasuarina","Dicot"
"ALMA7","Alnus maritima (Marshall) Muhl. ex Nutt.","seaside alder",,"Alnus","Dicot"
"ALMA8","Alopecurus magellanicus Lam.","Alpine Meadow-Foxtail",,"Alopecurus","Monocot"
"ALMO4","Alchemilla monticola Opiz","hairy lady's mantle",,"Alchemilla","Dicot"
"ALNI","Allium nigrum L.","black garlic",,"Allium","Monocot"
"ALNY2","Aliciella nyensis (Reveal) J.M. Porter","Nye gilia",,"Aliciella","Dicot"
"ALOD2","Allium odorum L.","Chinese chives",,"Allium","Monocot"
"ALPA11","Allium parryi S. Watson","Parry's fringed onion",,"Allium","Monocot"
"ALPAP","Alternanthera paronychioides A. St.-Hil. var. paronychioides ","smooth joyweed",,"Alternanthera","Dicot"
"ALRO3","Alcea rosea L.","hollyhock",,"Alcea","Dicot"
"ALSAS2","Alectoria sarmentosa (Ach.) Ach. ssp. sarmentosa ","witch's hair lichen",,"Alectoria","Lichen"
"ALSE4","Alternanthera sessilis (L.) R. Br. ex DC.","sessile joyweed",,"Alternanthera","Dicot"
"ALSH","Allium shevockii McNeal","Spanish Needle onion",,"Allium","Monocot"
"ALSOP","Alsophila R. Br.","alsophila",,"Alsophila","Fern"
"ALSP4","Allium sphaerocephalon L.","roundheaded leek",,"Allium","Monocot"
"ALSU","Alisma subcordatum Raf.","American water plantain",,"Alisma","Monocot"
"ALTE","Allium textile A. Nelson & J.F. Macbr.","textile onion",,"Allium","Monocot"
"ALTE13","Allophylus ternatus (J.R. Forst. & G. Forst.) Radlk.",,,"Allophylus","Dicot"
"ALTO","Allium tolmiei (Hook.) Baker ex S. Watson","Tolmie's onion",,"Allium","Monocot"
"ALTR14","Aliciella triodon (Eastw.) Brand","coyote gilia",,"Aliciella","Dicot"
"ALTR6","Aloysia triphylla (L'Hér.) Britton","lemon beebrush",,"Aloysia","Dicot"
"ALVA5","Alectoria vancouverensis (Gyel.) Gyel. ex Brodo & D. Hawksw.","Vancouver witch's hair lichen",,"Alectoria","Lichen"
"ALVE2","Aloe vera (L.) Burm. f.","Barbados aloe",,"Aloe","Monocot"
"ALVI3","Allium victorialis L.","victory onion",,"Allium","Monocot"
"ALVIC3","Allium vineale L. ssp. compactum (Thuill.) Coss. & Germ.","compact onion",,"Allium","Monocot"
"ALVIS","Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve","Sitka alder",,"Alnus","Dicot"
"ALWR","Aloysia wrightii (A. Gray) A. Heller","Wright's beebrush",,"Aloysia","Dicot"
"ALYO","Allium yosemitense Eastw.","Yosemite onion",,"Allium","Monocot"
"AMALH","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. humptulipensis (G.N. Jones) C.L. Hitchc.","Saskatoon serviceberry",,"Amelanchier","Dicot"
"AMBL","Amaranthus blitoides S. Watson","mat amaranth",,"Amaranthus","Dicot"
"AMBLY2","Amblyopappus Hook. & Arn.","amblyopappus",,"Amblyopappus","Dicot"
"AMBRC","Amphicarpaea bracteata (L.) Fernald var. comosa ","American hogpeanut",,"Amphicarpaea","Dicot"
"AMCA14","Ampelaster carolinianus (Walter) G.L. Nesom","climbing aster",,"Ampelaster","Dicot"
"AMCA6","Amorpha canescens Pursh","leadplant",,"Amorpha","Dicot"
"AMCR2","Amaranthus crispus (Lesp. & Thev.) N. Terracc.","crispleaf amaranth",,"Amaranthus","Dicot"
"AMER","Ambrosia eriocentra (A. Gray) Payne","woolly fruit bur ragweed",,"Ambrosia","Dicot"
"AMGR2","Amaranthus greggii S. Watson","Gregg's amaranth",,"Amaranthus","Dicot"
"AMHEH","Amorpha herbacea Walter var. herbacea ","clusterspike false indigo",,"Amorpha","Dicot"
"AMIN8","Amaranthus interruptus R. Br.",,,"Amaranthus","Dicot"
"AMLO","Amsonia longiflora Torr.","tubular bluestar",,"Amsonia","Dicot"
"AMMOS","Ammoselinum Torr. & A. Gray","sandparsley",,"Ammoselinum","Dicot"
"AMMU5","Amblyopyrum muticum (Boiss.) Eig","amblyopyrum",,"Amblyopyrum","Monocot"
"AMOB","Amaranthus obcordatus (A. Gray) Standl.","Trans-Pecos amaranth",,"Amaranthus","Dicot"
"AMPA2","Amelanchier pallida Greene","pale serviceberry",,"Amelanchier","Dicot"
"AMPHI4","Amphicarpaea Elliott ex Nutt.","hogpeanut",,"Amphicarpaea","Dicot"
"AMPO","Amaranthus polygonoides L.","tropical amaranth",,"Amaranthus","Dicot"
"AMPO2","Amaranthus powellii S. Watson","Powell's amaranth",,"Amaranthus","Dicot"
"AMPU9","Amandinea punctata (Hoffm.) Coppins & Scheid.",,,"Amandinea","Lichen"
"AMRO3","Ammannia robusta Heer & Regel","grand redstem",,"Ammannia","Dicot"
"AMSP3","Amsinckia spectabilis Fisch. & C.A. Mey.","woolly breeches",,"Amsinckia","Dicot"
"AMTO3","Ambrosia tomentosa Nutt.","skeletonleaf bur ragweed",,"Ambrosia","Dicot"
"AMTU","Amaranthus tuberculatus (Moq.) Sauer","roughfruit amaranth",,"Amaranthus","Dicot"
"ANAGA2","Anthoceros agrestis Paton var. agrestis ",,,"Anthoceros","Hornwort"
"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes",,"Antennaria","Dicot"
"ANAM5","Anisomeridium ambiguum (Zahlbr.) R.C. Harris","anisomeridium lichen",,"Anisomeridium","Lichen"
"ANANA","Ananas Mill.","pineapple",,"Ananas","Monocot"
"ANAR16","Anchusa arvensis (L.) M. Bieb.","small bugloss",,"Anchusa","Dicot"
"ANAR4","Antennaria arcuata Cronquist","box pussytoes",,"Antennaria","Dicot"
"ANARN2","Angelica archangelica L. ssp. norvegica (Rupr.) Nordh.","Norwegia angelica",,"Angelica","Dicot"
"ANBE","Anemone berlandieri Pritz.","tenpetal thimbleweed",,"Anemone","Dicot"
"ANBI3","Anisomeridium biforme (Borrer) R.C. Harris","anisomeridium lichen",,"Anisomeridium","Lichen"
"ANBR2","Andropogon brachystachyus Chapm.","shortspike bluestem",,"Andropogon","Monocot"
"ANCA8","Anemone canadensis L.","Canadian anemone",,"Anemone","Dicot"
"ANCE","Anthriscus cerefolium (L.) Hoffm.","garden chervil",,"Anthriscus","Dicot"
"ANCO29","Anthurium cordatum (L.) Schott","Organ Mountain laceleaf",,"Anthurium","Monocot"
"ANCR2","Anoda cristata (L.) Schltdl.","crested anoda",,"Anoda","Dicot"
"ANCR8","Andreaea crassinervia Bruch","andreaea moss",,"Andreaea","Moss"
"ANDI3","Antennaria dioica (L.) Gaertn.","stoloniferous pussytoes",,"Antennaria","Dicot"
"ANDI9","Anisomeridium distans (Willey) R.C. Harris","anisomeridium lichen",,"Anisomeridium","Lichen"
"ANDRO3","Androsace L.","rockjasmine",,"Androsace","Dicot"
"ANEX5","Anisomeridium excaecariae (Müll. Arg.) R.C. Harris",,,"Anisomeridium","Lichen"
"ANFI4","Anomobryum filiforme (Dicks.) Solms","filiform anomobryum moss",,"Anomobryum","Moss"
"ANGLG2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. glomeratus ","bushy bluestem",,"Andropogon","Monocot"
"ANGLP","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. pumilus Vasey ex L.H. Dewey","bushy bluestem",,"Andropogon","Monocot"
"ANHI3","Anemia hirta (L.) Sw.","streambank flowering fern",,"Anemia","Fern"
"ANHOH","Antennaria howellii Greene ssp. howellii ","Howell's pussytoes",,"Antennaria","Dicot"
"ANHOP","Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer","small pussytoes",,"Antennaria","Dicot"
"ANLA","Anemone lancifolia Pursh","mountain thimbleweed",,"Anemone","Dicot"
"ANLUL","Antennaria luzuloides Torr. & A. Gray ssp. luzuloides ","rush pussytoes",,"Antennaria","Dicot"
"ANMA15","Anthoceros macounii M. Howe","Macoun's hornwort",,"Anthoceros","Hornwort"
"ANMO3","Andropogon mohrii (Hack.) Hack. ex Vasey","Mohr's bluestem",,"Andropogon","Monocot"
"ANMO9","Antennaria monocephala DC.","pygmy pussytoes",,"Antennaria","Dicot"
"ANMU","Anemone multifida Poir.","Pacific anemone",,"Anemone","Dicot"
"ANNAM2","Anemone narcissiflora L. var. monantha DC.","narcissus anemone",,"Anemone","Dicot"
"ANNAV3","Anemone narcissiflora L. var. villosissima DC.","narcissus anemone",,"Anemone","Dicot"
"ANOC","Anacardium occidentale L.","cashew",,"Anacardium","Dicot"
"ANODA","Anoda Cav.","anoda",,"Anoda","Dicot"
"ANOGE","Anogeissus (DC.) Wall.","anogeissus",,"Anogeissus","Dicot"
"ANOR","Anemone oregana A. Gray","blue windflower",,"Anemone","Dicot"
"ANPAF","Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins","Parlin's pussytoes",,"Antennaria","Dicot"
"ANPLH2","Antidesma platyphyllum H. Mann var. hillebrandii Pax & K. Hoffm.","Hillebrand's ha'a",,"Antidesma","Dicot"
"ANPU12","Anthoceros punctatus L.","hornwort",,"Anthoceros","Hornwort"
"ANPU6","Anisacanthus puberulus (Torr.) Henrickson & Lott","dwarf desert honeysuckle",,"Anisacanthus","Dicot"
"ANQUB2","Anemone quinquefolia L. var. bifolia Farw.","twoleaf anemone",,"Anemone","Dicot"
"ANQUW","Anisacanthus quadrifidus (Vahl) Nees var. wrightii (Torr.) Henrickson","Wright's desert honeysuckle",,"Anisacanthus","Dicot"
"ANROC","Antennaria rosea Greene ssp. confinis (Greene) Bayer","rosy pussytoes",,"Antennaria","Dicot"
"ANROP","Antennaria rosea Greene ssp. pulvinata (Greene) Bayer","pulvinate pussytoes",,"Antennaria","Dicot"
"ANROR","Antennaria rosea Greene ssp. rosea ","rosy pussytoes",,"Antennaria","Dicot"
"ANSC13","Anthoceros scariosus Austin","hornwort",,"Anthoceros","Hornwort"
"ANSEP2","Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins","pygmyflower rockjasmine",,"Androsace","Dicot"
"ANSP11","Anacamptodon splachnoides (Froel. ex Brid.) Brid.","anacamptodon moss",,"Anacamptodon","Moss"
"ANST9","Anthracothecium staurosporum (Tuck. ex Willey) Zahlbr.","anthracothecium lichen",,"Anthracothecium","Lichen"
"ANSU8","Anisomeridium subprostans (Nyl.) R.C. Harris","anisomeridium lichen",,"Anisomeridium","Lichen"
"ANTO3","Ancistrocactus tobuschii (W.T. Marshall) W.T. Marshall ex Backeb.","shorthook fishhook cactus",,"Ancistrocactus","Dicot"
"ANTR8","Angostura trifoliata (Willd.) T.S. Elias","angostura",,"Angostura","Dicot"
"ANTU","Anemone tuberosa Rydb.","tuber anemone",,"Anemone","Dicot"
"ANUR","Antrophyum urbanii Brause","Urban's lineleaf fern",,"Antrophyum","Fern"
"APAR2","Aphanes arvensis L.","field parsley piert",,"Aphanes","Dicot"
"APGRD","Apium graveolens L. var. dulce (Mill.) DC.","wild celery",,"Apium","Dicot"
"APIN","Apera interrupta (L.) P. Beauv.","dense silkybent",,"Apera","Monocot"
"APMI","Aphanes microcarpa (Boiss. & Reut.) Rothm.","slender parsley piert",,"Aphanes","Dicot"
"APPR2","Apium prostratum Labill.","prostrate marshwort",,"Apium","Dicot"
"AQCHC","Aquilegia chrysantha A. Gray var. chaplinei (Standl. ex Payson) Lott","Chaplin's golden columbine",,"Aquilegia","Dicot"
"AQCOD","Aquilegia coerulea James var. daileyae Eastw.","Dailey's columbine",,"Aquilegia","Dicot"
"AQSCS","Aquilegia scopulorum Tidestr. var. scopulorum ","Utah columbine",,"Aquilegia","Dicot"
"ARAE2","Arthrorhaphis aeruginosa R. Sant. & Tønsberg",,,"Arthrorhaphis","Lichen"
"ARALA7","Arctostaphylos alpina (L.) Spreng. var. alpina ","alpine bearberry",,"Arctostaphylos","Dicot"
"ARAN14","Arthopyrenia analepta (Ach.) A. Massal.",,,"Arthopyrenia","Lichen"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed cinquefoil",,"Argentina","Dicot"
"ARANA","Arnica angustifolia Vahl ssp. angustifolia ","narrowleaf arnica",,"Arnica","Dicot"
"ARAR7","Aronia arbutifolia (L.) Pers.","red chokeberry",,"Aronia","Dicot"
"ARARC","Artemisia arctica Less. ssp. comata (Rydb.) Hultén","boreal sagebrush",,"Artemisia","Dicot"
"ARARL","Artemisia arbuscula Nutt. ssp. longiloba (Osterh.) L.M. Shultz","little sagebrush",,"Artemisia","Dicot"
"ARAS2","Arthonia astericus Müll. Arg.","dot lichen",,"Arthonia","Lichen"
"ARAU","Arctostaphylos auriculata Eastw.","Mt. Diablo manzanita",,"Arctostaphylos","Dicot"
"ARAU3","Artemisia australis Less.","Oahu wormwood",,"Artemisia","Dicot"
"ARBAB","Arctostaphylos bakeri Eastw. ssp. bakeri ","Baker's manzanita",,"Arctostaphylos","Dicot"
"ARBE","Arenaria benthamii Fenzl ex Torr. & A. Gray","hilly sandwort",,"Arenaria","Dicot"
"ARBI9","Arthonia bisepta Degel.","dot lichen",,"Arthonia","Lichen"
"ARBY","Arthonia byssacea (Weigel) Almq.","dot lichen",,"Arthonia","Lichen"
"ARCA19","Argythamnia californica Brandegee","California silverbush",,"Argythamnia","Dicot"
"ARCAA","Arenaria capillaris Poir. ssp. americana Maguire","fescue sandwort",,"Arenaria","Dicot"
"ARCAS5","Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. scouleriana (Hook.) Cronquist","field sagewort",,"Artemisia","Dicot"
"ARCI12","Arenaria ciliata L. [excluded]",,,"Arenaria","Dicot"
"ARCO12","Arabis constancei Rollins","Constance's rockcress",,"Arabis","Dicot"
"ARCO9","Arnica cordifolia Hook.","heartleaf arnica",,"Arnica","Dicot"
"ARCTO","Arctomecon Torr. & Frém.","bearpoppy",,"Arctomecon","Dicot"
