scientific_name,source
Acrolophus hasbroucki,GBIF
Acrolophus heinrichi,GBIF
Acrolophus heppneri,GBIF
Acrolophus hodgesi,GBIF
Acrolophus kearfotti,GBIF
Acrolophus laticapitana,GBIF
Acrolophus leuschneri,GBIF
Acrolophus macrophallus,GBIF
Acrolophus maculifer,GBIF
Acrolophus mortipennella,GBIF
Acrolophus mycetophagus,GBIF
Acrolophus occidens,GBIF
Acrolophus panamae,GBIF
Acrolophus parvipalpus,GBIF
Acrolophus persimplex,GBIF
Acrolophus piger,GBIF
Acrolophus popeanella,GBIF
Acrolophus propinqua,GBIF
Acrolophus punctellus,GBIF
Acrolophus pyramellus,GBIF
Acrolophus simulatus,GBIF
Acrolophus sinclairi,GBIF
Acrolophus texanella,GBIF
Acrolophus variabilis,GBIF
Acrolophus walsinghami,GBIF
Acrolophus wielgusi,GBIF
Acrolophus wilkei,GBIF
Acroncosa albiflavella,GBIF
Acroncosa similella,GBIF
Acronicta atristrigatus,GBIF
Acronicta barnesii,GBIF
Acronicta beameri,GBIF
Acronicta browni,GBIF
Acronicta cyanescens,GBIF
Acronicta dolli,GBIF
Acronicta edolata,GBIF
Acronicta exempta,GBIF
Acronicta extricata,GBIF
Acronicta fallax,GBIF
Acronicta hastulifera,GBIF
Acronicta heitzmani,GBIF
Acronicta insita,GBIF
Acronicta insularis,GBIF
Acronicta lepetita,GBIF
Acronicta lupini,GBIF
Acronicta mansueta,GBIF
Acronicta marmorata,GBIF
Acronicta menyanthidis,GBIF
Acronicta othello,GBIF
Acronicta parallela,GBIF
Acronicta paupercula,GBIF
Acronicta perblanda,GBIF
Acronicta perdita,GBIF
Acronicta quadrata,GBIF
Acronicta sinescripta,GBIF
Acronicta spinea,GBIF
Acronicta strigulata,GBIF
Acronicta thoracica,GBIF
Acronicta tota,GBIF
Acronicta valliscola,GBIF
Acroplectis haemanthes,GBIF
Acroria terens,GBIF
Acsala anomala,GBIF
Actebia balanitis,GBIF
Actitis hypoleucos,eBird
Actitis macularius,eBird
Adaina ambrosiae,GBIF
Adaina bipunctatus,GBIF
Adaina simplicius,GBIF
Adela astrella,GBIF
Adela caeruleella,GBIF
Adela eldorada,GBIF
Adela flammeusella,GBIF
Adela oplerella,GBIF
Adela punctiferella,GBIF
Adela ridingsella,GBIF
Adela septentrionella,GBIF
Adela singulella,GBIF
Adela thorpella,GBIF
Adela trigrapha,GBIF
Adela vittata,GBIF
Adelpha basiloides,GBIF
Adelpha bredowii,GBIF
Adelphagrotis carissima,GBIF
Adelphagrotis indeterminata,GBIF
Adelphagrotis stellaris,GBIF
Admetovis icarus,GBIF
Admetovis oxymorus,GBIF
Admetovis similaris,GBIF
Adoneta bicaudata,GBIF
Adoneta gemina,GBIF
Adoneta inuloides,GBIF
Adoneta pygmaea,GBIF
Adopaeoides prittwitzi,GBIF
Aechmophorus clarkii,eBird
Aechmophorus occidentalis,eBird
Aegolius acadicus,eBird
Aegolius funereus,eBird
Aellopos clavipes,GBIF
Aellopos fadus,GBIF
Aellopos tantalus,GBIF
Aerodramus bartschi,eBird
Aeronautes saxatalis,eBird
Aethaloida packardaria,GBIF
Aethes angulatana,GBIF
Aethes angustana,GBIF
Aethes argentilimitana,GBIF
Aethes atomosana,GBIF
Aethes baloghi,GBIF
Aethes biscana,GBIF
Aethes bomonana,GBIF
Aethes deutschiana,GBIF
Aethes fernaldana,GBIF
Aethes floccosana,GBIF
Aethes heleniana,GBIF
Aethes interruptofasciata,GBIF
Aethes kindermanniana,GBIF
Aethes louisiana,GBIF
Aethes matheri,GBIF
Aethes matthewcruzi,GBIF
Aethes mymara,GBIF
Aethes olibra,GBIF
Aethes patricia,GBIF
Aethes promptana,GBIF
Aethes rana,GBIF
Aethes razowskii,GBIF
Aethes seriatana,GBIF
Aethes sexdentata,GBIF
Aethes smeathmanniana,GBIF
Aethes sonorae,GBIF
Aethes spartinana,GBIF
Aethes terriae,GBIF
Aethes vachelliana,GBIF
Aethia cristatella,eBird
Aethia psittacula,eBird
Aethia pusilla,eBird
Aethia pygmaea,eBird
Aethiophysa delicata,GBIF
Aethiophysa dualis,GBIF
Aethiophysa lentiflualis,GBIF
Aetole extraneella,GBIF
Aetole tripunctella,GBIF
Aetole unipunctella,GBIF
Afeda biloba,GBIF
Afilia oslari,GBIF
Afotella cylindrica,GBIF
Afrida exegens,GBIF
Afrida ydatodes,GBIF
Agapema homogena,GBIF
Agapeta zoegana,GBIF
Agapornis fischeri,eBird
Agapornis lilianae,eBird
Agapornis personatus,eBird
Agapornis pullarius,eBird
Agapornis roseicollis,eBird
Agapostemon alayoi,GBIF
Agapostemon angelicus,GBIF
Agapostemon coloradinus,GBIF
Agapostemon femoratus,GBIF
Agapostemon melliventris,GBIF
Agapostemon obliquus,GBIF
Agapostemon sericeus,GBIF
Agapostemon splendens,GBIF
Agapostemon texanus,GBIF
Agapostemon tyleri,GBIF
Agaraea semivitrea,GBIF
Agathodes designalis,GBIF
Agathodes monstralis,GBIF
Agathymus alliae,GBIF
Agathymus aryxna,GBIF
Agathymus baueri,GBIF
Agathymus carlsbadensis,GBIF
Agathymus chisosensis,GBIF
Agathymus estelleae,GBIF
Agathymus evansi,GBIF
Agathymus florenceae,GBIF
Agathymus gentryi,GBIF
Agathymus mariae,GBIF
Agathymus neumoegeni,GBIF
Agathymus polingi,GBIF
Agathymus stephensi,GBIF
Agdistis americana,GBIF
Agelaius humeralis,eBird
Agelaius tricolor,eBird
Aglais io,GBIF
Aglaonice otignatha,GBIF
Aglossa acallalis,GBIF
Aglossa baba,GBIF
Aglossa cacamica,GBIF
Aglossa caprealis,GBIF
Aglossa costiferalis,GBIF
Aglossa cuprina,GBIF
Aglossa disciferalis,GBIF
Aglossa electalis,GBIF
Aglossa oculalis,GBIF
Aglossa pinguinalis,GBIF
Agnippe abdita,GBIF
Agnippe biscolorella,GBIF
Agnippe crinella,GBIF
Agnippe laudatella,GBIF
Agnippe leuconota,GBIF
Agnippe prunifoliella,GBIF
Agnorisma badinodis,GBIF
Agnorisma bollii,GBIF
Agnorisma bugrai,GBIF
Agonop terix,GBIF
Agonopterix alstroemeriana,GBIF
Agonopterix alstromeriana,GBIF
Agonopterix antennariella,GBIF
Agonopterix arnicella,GBIF
Agonopterix chrautis,GBIF
Agonopterix conterminella,GBIF
Agonopterix cratia,GBIF
Agonopterix curvilineella,GBIF
Agonopterix dimorphella,GBIF
Agonopterix flavicomella,GBIF
Agonopterix fusciterminella,GBIF
Agonopterix gelidella,GBIF
Agonopterix nervosa,GBIF
Agonopterix nubiferella,GBIF
Agonopterix oregonensis,GBIF
Agonopterix paulae,GBIF
Agonopterix posticella,GBIF
Agonopterix psoraliella,GBIF
Agonopterix pteleae,GBIF
Agonopterix rosaciliella,GBIF
Agonopterix sabulella,GBIF
Agonopterix senicionella,GBIF
Agonopterix thelmae,GBIF
Agriades amica,GBIF
Agriades glandon,GBIF
Agriades podarce,GBIF
Agriopodes tybo,GBIF
Agriphila anceps,GBIF
Agriphila attenuatus,GBIF
Agriphila biothanatalis,GBIF
Agriphila costalipartella,GBIF
Agriphila costilpartella,GBIF
Agriphila geniculea,GBIF
Agriphila plumbifimbriellus,GBIF
Agriphila ruricolellus,GBIF
Agriphila straminella,GBIF
Agriphila undatus,GBIF
Agriphila vulgivagellus,GBIF
Agrochola bicolorago,GBIF
Agrochola decipiens,GBIF
Agrochola lunosa,GBIF
Agrochola pulchella,GBIF
Agrochola purpurea,GBIF
Agrochola verberata,GBIF
Agrodiaetus dolus,GBIF
Agrotis antica,GBIF
Agrotis apicalis,GBIF
Agrotis baliopa,GBIF
Agrotis buchholzi,GBIF
Agrotis charmocrita,GBIF
Agrotis daedalus,GBIF
Agrotis dislocata,GBIF
Agrotis fatidica,GBIF
Agrotis gravis,GBIF
Agrotis helela,GBIF
