scientific_name,source
Corticivora chica,GBIF
Corticivora parva,GBIF
Corvus albicollis,eBird
Corvus albus,eBird
Corvus corax,eBird
Corvus cornix,eBird
Corvus cryptoleucus,eBird
Corvus hawaiiensis,eBird
Corvus imparatus,eBird
Corvus ossifragus,eBird
Corvus splendens,eBird
Coryphista meadii,GBIF
Corythophora aurea,GBIF
Coscoroba coscoroba,eBird
Cosipara modulalis,GBIF
Cosipara tricoloralis,GBIF
Cosmia elisae,GBIF
Cosmia praeacuta,GBIF
Cosmopterix abdita,GBIF
Cosmopterix astrapias,GBIF
Cosmopterix attenuatella,GBIF
Cosmopterix chisosensis,GBIF
Cosmopterix damnosa,GBIF
Cosmopterix dapifera,GBIF
Cosmopterix delicatella,GBIF
Cosmopterix ebriola,GBIF
Cosmopterix floridanella,GBIF
Cosmopterix inopis,GBIF
Cosmopterix minutella,GBIF
Cosmopterix molybdina,GBIF
Cosmopterix montisella,GBIF
Cosmopterix nitens,GBIF
Cosmopterix opulenta,GBIF
Cosmopterix pulchrimella,GBIF
Cosmopterix quadrilineella,GBIF
Cosmopterix scirpicola,GBIF
Cosmopterix teligera,GBIF
Cosmosoma achemon,GBIF
Cosmosoma myrodora,GBIF
Coturnicops noveboracensis,eBird
Coturnix coturnix,eBird
Coturnix japonica,eBird
Coxina cinctipalpis,GBIF
Coxina hadenoides,GBIF
Crambidia casta,GBIF
Crambidia cephalica,GBIF
Crambidia dusca,GBIF
Crambidia impura,GBIF
Crambidia lithosioides,GBIF
Crambidia myrlosea,GBIF
Crambidia pallida,GBIF
Crambidia pura,GBIF
Crambidia suffusa,GBIF
Crambidia uniformis,GBIF
Crambidia xanthocorpa,GBIF
Crambus agitatellus,GBIF
Crambus ainslieellus,GBIF
Crambus albellus,GBIF
Crambus alboclavellus,GBIF
Crambus alienellus,GBIF
Crambus angustexon,GBIF
Crambus awemellus,GBIF
Crambus bidens,GBIF
Crambus braunellus,GBIF
Crambus cypridalis,GBIF
Crambus cyrilellus,GBIF
Crambus daeckellus,GBIF
Crambus dimidiatellus,GBIF
Crambus gausapalis,GBIF
Crambus girardellus,GBIF
Crambus hamella,GBIF
Crambus harrisi,GBIF
Crambus johnsoni,GBIF
Crambus laqueatellus,GBIF
Crambus leachellus,GBIF
Crambus leuconotus,GBIF
Crambus lyonsellus,GBIF
Crambus multilinellus,GBIF
Crambus occidentalis,GBIF
Crambus pascuella,GBIF
Crambus perlellus,GBIF
Crambus praefectellus,GBIF
Crambus quinquareatus,GBIF
Crambus rickseckerellus,GBIF
Crambus saltuellus,GBIF
Crambus sanfordellus,GBIF
Crambus sargentellus,GBIF
Crambus satrapellus,GBIF
Crambus sperryellus,GBIF
Crambus trichusalis,GBIF
Crambus tripsacas,GBIF
Crambus tutillus,GBIF
Crambus unistriatellus,GBIF
Crambus vulgivagellus,GBIF
Crambus watsonellus,GBIF
Crambus whitmerellus,GBIF
Crambus youngellus,GBIF
Creagrus furcatus,eBird
Cremastobombycia ambrosiaeella,GBIF
Cremastobombycia chromolaenae,GBIF
Cremastobombycia grindeliella,GBIF
Cremastobombycia ignota,GBIF
Cremastobombycia lantanella,GBIF
Cremastobombycia verbesinella,GBIF
Crex crex,eBird
Crimona pallimedia,GBIF
Crinifer concolor,eBird
Crinodes biedermani,GBIF
Crithagra atrogularis,eBird
Crithagra leucopygia,eBird
Crithagra mozambica,eBird
Crithagra striolata,eBird
Crocidocnemis pellucidalis,GBIF
Crocidomera imitata,GBIF
Crocidophora pustuliferalis,GBIF
Crocidophora serratissimalis,GBIF
Crocidophora tuberculalis,GBIF
Crocidosema lantana,GBIF
Crocidosema leprarum,GBIF
Crocidosema marcidellum,GBIF
Crocidosema perplexana,GBIF
Crocidosema unica,GBIF
Cropia connecta,GBIF
Cropia ruthaea,GBIF
Cropia templada,GBIF
Crotophaga ani,eBird
Crotophaga sulcirostris,eBird
Cryphia albipuncta,GBIF
Cryphia cuerva,GBIF
Cryphia fascia,GBIF
Cryphia flavidior,GBIF
Cryphia nana,GBIF
Cryphia pallidioides,GBIF
Cryphia sarepta,GBIF
Cryptaspasma bipenicilla,GBIF
Cryptoblabes adoceta,GBIF
Cryptobotys zoilusalis,GBIF
Cryptographis elealis,GBIF
Cryptographis infimalis,GBIF
Cryptographis nitidalis,GBIF
Cryptophlebia illepida,GBIF
Cryptophlebia ombrodelta,GBIF
Cryptophobetron oropeso,GBIF
Cryptothelea gloverii,GBIF
Cryptothelea nigrita,GBIF
Ctenoplusia albostriata,GBIF
Ctenucha brunnea,GBIF
Ctenucha cressonana,GBIF
Ctenucha multifaria,GBIF
Ctenucha rubroscapus,GBIF
Ctenucha venosa,GBIF
Cucullia albida,GBIF
Cucullia antipoda,GBIF
Cucullia astigma,GBIF
Cucullia basipuncta,GBIF
Cucullia charon,GBIF
Cucullia comstocki,GBIF
Cucullia cucullioides,GBIF
Cucullia dammersi,GBIF
Cucullia dorsalis,GBIF
Cucullia eccissica,GBIF
Cucullia eucaena,GBIF
Cucullia eulepis,GBIF
Cucullia eurekae,GBIF
Cucullia heinrichi,GBIF
Cucullia incresa,GBIF
Cucullia laetifica,GBIF
Cucullia lethe,GBIF
Cucullia lilacina,GBIF
Cucullia luna,GBIF
Cucullia mcdunnoughi,GBIF
Cucullia montanae,GBIF
Cucullia omissa,GBIF
Cucullia oribac,GBIF
Cucullia postera,GBIF
Cucullia pulla,GBIF
Cucullia serraticornis,GBIF
Cucullia similaris,GBIF
Cucullia speyeri,GBIF
Cucullia strigata,GBIF
Cucullia styx,GBIF
Cuculus canorus,eBird
Cuculus optatus,eBird
Cuniberta subtinctella,GBIF
Cupido cilla,GBIF
Cupido fulla,GBIF
Cupido orcus,GBIF
Cupido pembina,GBIF
Cupido pheres,GBIF
Cupido podarce,GBIF
Curruca curruca,eBird
Curvie emesia,GBIF
Cutina albopunctella,GBIF
Cutina aluticolor,GBIF
Cutina arcuata,GBIF
Cutina distincta,GBIF
Cyanerpes caeruleus,eBird
Cyanerpes cyaneus,eBird
Cyaniris neglecta,GBIF
Cyanistes caeruleus,eBird
Cyanistes cyanus,eBird
Cyanochen cyanoptera,eBird
Cyanocitta stelleri,eBird
Cyanocompsa parellina,eBird
Cyanocorax beecheii,eBird
Cyanocorax colliei,eBird
Cyanocorax formosus,eBird
Cyanocorax morio,eBird
Cyanocorax sanblasianus,eBird
Cyanocorax yncas,eBird
Cyanocorax yucatanicus,eBird
Cyanoliseus patagonus,eBird
Cyanophrys miserabilis,GBIF
Cyanopica cyanus,eBird
Cybalomia extorris,GBIF
Cybilla hubbardana,GBIF
Cyclargus ammon,GBIF
Cyclargus thomasi,GBIF
Cyclica frondaria,GBIF
Cyclophora culicaria,GBIF
Cyclophora dataria,GBIF
Cyclophora nanaria,GBIF
Cydalima perspectalis,GBIF
Cydia albimaculana,GBIF
Cydia americana,GBIF
Cydia bracteatana,GBIF
Cydia colorana,GBIF
Cydia conspicua,GBIF
Cydia costastrigulana,GBIF
Cydia cupressana,GBIF
Cydia fahlbergiana,GBIF
Cydia fletcherana,GBIF
Cydia flexiloqua,GBIF
Cydia garacana,GBIF
Cydia ingens,GBIF
Cydia ingrata,GBIF
Cydia lacustrina,GBIF
Cydia laricana,GBIF
Cydia larimana,GBIF
Cydia leucobasis,GBIF
Cydia marita,GBIF
Cydia membrosa,GBIF
Cydia montanum,GBIF
Cydia multilineana,GBIF
Cydia ninana,GBIF
Cydia palmetum,GBIF
Cydia piperana,GBIF
Cydia plicatum,GBIF
Cydia prosperana,GBIF
Cydia pseudotsugae,GBIF
Cydia rufipennis,GBIF
Cydia saltitans,GBIF
Cydia splendana,GBIF
Cydia tana,GBIF
Cydia timara,GBIF
Cydia youngana,GBIF
Cydosia aurivitta,GBIF
Cydosia majuscula,GBIF
Cydosia nobilitella,GBIF
Cygnus atratus,eBird
Cygnus buccinator,eBird
Cygnus columbianus,eBird
Cygnus cygnus,eBird
Cygnus melancoryphus,eBird
Cygnus olor,eBird
Cylindrifrons succandidalis,GBIF
Cyllopsis pertepida,GBIF
Cymaenes odilia,GBIF
Cymaenes tripunctus,GBIF
Cymbopteryx fuscimarginalis,GBIF
Cymbopteryx unilinealis,GBIF
Cymolomia hartigiana,GBIF
Cynanthus latirostris,eBird
Cyphacma tragiae,GBIF
Cypseloides niger,eBird
Cyrtonyx montezumae,eBird
Dacelo novaeguineae,eBird
Dacnis cayana,eBird
Dahana atripennis,GBIF
Dahlica lichenella,GBIF
Dahlica triquetrella,GBIF
Dahlica walshella,GBIF
Dalcerides ingenita,GBIF
Danaus eresimus,GBIF
Daphnis nerii,GBIF
Daptrius chimachima,eBird
Dargida aleada,GBIF
Dargida diffusa,GBIF
Dargida grammivora,GBIF
Dargida procinctus,GBIF
Dargida quadrannulata,GBIF
Dargida rubripennis,GBIF
Dargida terrapictalis,GBIF
Dargida tetera,GBIF
Dasyblemma straminea,GBIF
Dasychira atrivenosa,GBIF
Dasychira dominickaria,GBIF
Dasychira grisefacta,GBIF
Dasychira matheri,GBIF
Dasychira mescalera,GBIF
Dasychira obliqua,GBIF
Dasyfidonia avuncularia,GBIF
Dasyfidonia macdunnoughi,GBIF
Dasylophia seriata,GBIF
Dasypyga alternosquamella,GBIF
Dasypyga salmocolor,GBIF
Datana chiriquensis,GBIF
Datana modesta,GBIF
Datana neomexicana,GBIF
Datana perfusa,GBIF
Datana robusta,GBIF
Datana rotundata,GBIF
Daulia arizonensis,GBIF
Daulia magdalena,GBIF
Daviscardia coloradella,GBIF
Decantha borkhausenii,GBIF
Decantha stecia,GBIF
Decantha stonda,GBIF
Decantha tistra,GBIF
Decaturia pectinalis,GBIF
Decinea percosius,GBIF
Decodes aneuretus,GBIF
Decodes asapheus,GBIF
Decodes bicolor,GBIF
Decodes helix,GBIF
Decodes horariana,GBIF
Decodes macdunnoughi,GBIF
Decodes montanus,GBIF
Deidamia inscriptum,GBIF
Deilephila elpenor,GBIF
Deinopa angitia,GBIF
Dejongia californicus,GBIF
Delichon lagopodum,eBird
Deltophora duplicata,GBIF
Deltophora glandiferella,GBIF
Deltophora sella,GBIF
Deltote bellicula,GBIF
Dendragapus fuliginosus,eBird
Dendragapus obscurus,eBird
Dendrocopos major,eBird
Dendrocygna arborea,eBird
Dendrocygna autumnalis,eBird
Dendrocygna bicolor,eBird
Dendrocygna eytoni,eBird
Dendrocygna viduata,eBird
Denisia haydenella,GBIF
Deoclona yuccasella,GBIF
Depressaria alienella,GBIF
Depressaria apiella,GBIF
Depressaria artemisiae,GBIF
Depressaria artemisiella,GBIF
Depressaria atrostrigella,GBIF
Depressaria betina,GBIF
Depressaria cinereocostella,GBIF
Depressaria constancei,GBIF
Depressaria depressana,GBIF
Depressaria pastinacella,GBIF
Depressaria pteryxiphaga,GBIF
Depressaria radiella,GBIF
Derrima stellata,GBIF
Desmia deploralis,GBIF
Desmia ploralis,GBIF
Desmia stenizonalis,GBIF
Desmia tages,GBIF
Desmia ufeus,GBIF
Destutia excelsa,GBIF
Destutia flumenata,GBIF
Destutia oblentaria,GBIF
Deuterollyta majuscula,GBIF
Deuterophysa fernaldi,GBIF
Diachorisia velatella,GBIF
Diacme mopsalis,GBIF
Diacme phyllisalis,GBIF
Diadasia afflictula,GBIF
Diadasia angusticeps,GBIF
Diadasia australis,GBIF
Diadasia bituberculata,GBIF
Diadasia consociata,GBIF
Diadasia diminuta,GBIF
Diadasia enavata,GBIF
Diadasia laticauda,GBIF
Diadasia lutzi,GBIF
Diadasia martialis,GBIF
Diadasia megamorpha,GBIF
Diadasia nigrifrons,GBIF
Diadasia nitidifrons,GBIF
Diadasia ochracea,GBIF
Diadasia olivacea,GBIF
Diadasia opuntiae,GBIF
Diadasia palmarum,GBIF
Diadasia rinconis,GBIF
Diadasia sphaeralcearum,GBIF
Diadasia tropicalis,GBIF
Diadasia tuberculifrons,GBIF
Diadasia vallicola,GBIF
Dianthidium arizonicum,GBIF
Dianthidium concinnum,GBIF
Dianthidium cressonii,GBIF
Dianthidium curvatum,GBIF
Dianthidium desertorum,GBIF
Dianthidium discors,GBIF
Dianthidium dubium,GBIF
Dianthidium floridiense,GBIF
Dianthidium heterulkei,GBIF
Dianthidium implicatum,GBIF
Dianthidium marshi,GBIF
Dianthidium parkeri,GBIF
Dianthidium parvum,GBIF
Dianthidium platyurum,GBIF
Dianthidium plenum,GBIF
Dianthidium pudicum,GBIF
Dianthidium singulare,GBIF
Dianthidium subparvum,GBIF
Dianthidium subrufulum,GBIF
Dianthidium texanum,GBIF
Dianthidium ulkei,GBIF
Diaphania costata,GBIF
Diaphania elegans,GBIF
Diaphania hyalinata,GBIF
Diaphania indica,GBIF
Diaphania modialis,GBIF
Diaphantania impulsalis,GBIF
Diarsia calgary,GBIF
Diarsia dislocata,GBIF
Diarsia esurialis,GBIF
Diarsia jucunda,GBIF
Diasemiodes janassialis,GBIF
Diasemiodes nigralis,GBIF
Diasemiopsis ramburialis,GBIF
Diastema cnossia,GBIF
Diastema gnossia,GBIF
Diastema leo,GBIF
Diastema tigris,GBIF
Diastictis albovittalis,GBIF
Diastictis argyralis,GBIF
Diastictis caecalis,GBIF
Diastictis fracturalis,GBIF
Diastictis pseudargyralis,GBIF
Diastictis robustior,GBIF
Diastictis sperryorum,GBIF
Diastictis ventralis,GBIF
Diataga leptosceles,GBIF
Diathrausta harlequinalis,GBIF
Diathrausta reconditalis,GBIF
Diatraea crambidoides,GBIF
Diatraea evanescens,GBIF
Diatraea grandiosella,GBIF
Diatraea lisetta,GBIF
Diatraea mitteri,GBIF
Diatraea saccharalis,GBIF
Diatraea venosalis,GBIF
Dichagyris acclivis,GBIF
Dichagyris arabella,GBIF
Dichagyris broui,GBIF
Dichagyris capota,GBIF
Dichagyris cataclivis,GBIF
Dichagyris dubitata,GBIF
Dichagyris grandipennis,GBIF
Dichagyris grotei,GBIF
Dichagyris kyune,GBIF
Dichagyris larga,GBIF
Dichagyris longidens,GBIF
Dichagyris madida,GBIF
Dichagyris mizteca,GBIF
Dichagyris neoclivis,GBIF
Dichagyris polycala,GBIF
Dichagyris proclivis,GBIF
Dichagyris reliqua,GBIF
Dichagyris ruckesi,GBIF
Dichagyris salina,GBIF
Dichagyris socorro,GBIF
Dichagyris triphaenoides,GBIF
Dichagyris variabilis,GBIF
Dichogama amabilis,GBIF
Dichogama gudmanni,GBIF
Dichogama redtenbacheri,GBIF
Dichomeris acuminatus,GBIF
Dichomeris aglaia,GBIF
Dichomeris aleatrix,GBIF
Dichomeris ardelia,GBIF
Dichomeris barnesiella,GBIF
Dichomeris baxa,GBIF
Dichomeris blanchardorum,GBIF
Dichomeris bolize,GBIF
Dichomeris citrifoliella,GBIF
Dichomeris costarufoella,GBIF
Dichomeris delotella,GBIF
Dichomeris diva,GBIF
Dichomeris fistuca,GBIF
Dichomeris furia,GBIF
Dichomeris gleba,GBIF
Dichomeris glenni,GBIF
Dichomeris gnoma,GBIF
Dichomeris heriguronis,GBIF
Dichomeris hirculella,GBIF
Dichomeris imitata,GBIF
Dichomeris isa,GBIF
Dichomeris kimballi,GBIF
Dichomeris laetitia,GBIF
Dichomeris mimesis,GBIF
Dichomeris mulsa,GBIF
Dichomeris nenia,GBIF
Dichomeris offula,GBIF
Dichomeris pelta,GBIF
Dichomeris punctidiscellus,GBIF
Dichomeris punctipennella,GBIF
Dichomeris purpureofusca,GBIF
Dichomeris santarosensis,GBIF
Dichomeris scrutaria,GBIF
Dichomeris serrativittella,GBIF
Dichomeris simpliciella,GBIF
Dichomeris siren,GBIF
Dichomeris ventrellus,GBIF
Dichomeris vindex,GBIF
Dichomeris xanthoa,GBIF
Dichorda consequaria,GBIF
Dichorda illustraria,GBIF
Dichorda rectaria,GBIF
Dichordophora phoenix,GBIF
Dichozoma parvipicta,GBIF
Dichrorampha acuminatana,GBIF
Dichrorampha aeratana,GBIF
Dichrorampha banana,GBIF
Dichrorampha broui,GBIF
Dichrorampha caribe,GBIF
Dichrorampha flavidorsana,GBIF
Dichrorampha flinti,GBIF
Dichrorampha incanana,GBIF
Dichrorampha petiverella,GBIF
Dichrorampha piperana,GBIF
Dichrorampha radicicolana,GBIF
Dichrorampha sapodilla,GBIF
Dichrorampha simulana,GBIF
Dichrorampha vancouverana,GBIF
Dicogaster coronada,GBIF
Dicymolomia grisea,GBIF
Dicymolomia metalliferalis,GBIF
Dicymolomia metalophota,GBIF
Dicymolomia micropunctalis,GBIF
Dicymolomia opuntialis,GBIF
Didasys belae,GBIF
Didugua argentilinea,GBIF
Diedra cockerellana,GBIF
Diedra intermontana,GBIF
Diedra wielgusi,GBIF
Dieunomia apacha,GBIF
Dieunomia bolliana,GBIF
Dieunomia micheneri,GBIF
Dieunomia nevadensis,GBIF
Dieunomia xerophila,GBIF
Digrammia aliciata,GBIF
Digrammia atrofasciata,GBIF
Digrammia burneyata,GBIF
Digrammia californiaria,GBIF
Digrammia cinereola,GBIF
Digrammia colorata,GBIF
Digrammia continuata,GBIF
Digrammia curvata,GBIF
Digrammia decorata,GBIF
Digrammia delectata,GBIF
Digrammia denticulata,GBIF
Digrammia equivocata,GBIF
Digrammia eremiata,GBIF
Digrammia excurvata,GBIF
Digrammia extenuata,GBIF
Digrammia fieldi,GBIF
Digrammia flaviterminata,GBIF
Digrammia gilletteata,GBIF
Digrammia gnophosaria,GBIF
Digrammia hypaethrata,GBIF
Digrammia imparilata,GBIF
Digrammia indeterminata,GBIF
Digrammia irrorata,GBIF
Digrammia maricopa,GBIF
Digrammia mellistrigata,GBIF
Digrammia minuta,GBIF
Digrammia modocata,GBIF
Digrammia muscariata,GBIF
Digrammia napensis,GBIF
Digrammia neptaria,GBIF
Digrammia nigricomma,GBIF
Digrammia nubiculata,GBIF
Digrammia ocellinata,GBIF
Digrammia ordinata,GBIF
Digrammia pallidata,GBIF
Digrammia pallorata,GBIF
Digrammia pertinata,GBIF
Digrammia pervolata,GBIF
Digrammia pictipennata,GBIF
Digrammia plemmelata,GBIF
Digrammia puertata,GBIF
Digrammia respersata,GBIF
Digrammia rippertaria,GBIF
Digrammia setonana,GBIF
Digrammia sublacteolata,GBIF
Digrammia subminiata,GBIF
Digrammia terramalata,GBIF
Digrammia triviata,GBIF
Digrammia ubiquitata,GBIF
Digrammia yavapai,GBIF
Dinumma deponens,GBIF
Diomedea antipodensis,eBird
Dion meda,GBIF
Dione juno,GBIF
Dione moneta,GBIF
Dione vanillae,GBIF
Diopsittaca nobilis,eBird
Dioryctria albovittella,GBIF
Dioryctria auranticella,GBIF
Dioryctria banksiella,GBIF
Dioryctria baumhoferi,GBIF
Dioryctria caesirufella,GBIF
Dioryctria cambiicola,GBIF
Dioryctria durangoensis,GBIF
Dioryctria erythropasa,GBIF
Dioryctria fordi,GBIF
Dioryctria gulosella,GBIF
Dioryctria hodgesi,GBIF
Dioryctria okanaganella,GBIF
Dioryctria pentictonella,GBIF
Dioryctria ponderosae,GBIF
Dioryctria pseudotsugella,GBIF
Dioryctria rossi,GBIF
Dioryctria subtracta,GBIF
Dioryctria taedivorella,GBIF
Dioryctria tumicolella,GBIF
Dioryctria westerlandi,GBIF
Dioryctria zimmermani,GBIF
Dioxys aurifuscus,GBIF
Dioxys pacificus,GBIF
Dioxys pomonae,GBIF
Dioxys productus,GBIF
Diphthera festiva,GBIF
Diplosara lignivora,GBIF
Diploschizia impigritella,GBIF
Diptychophora harlequinalis,GBIF
Disclisioprocta stellata,GBIF
Dishkeya bifurcata,GBIF
Disphragis semilunata,GBIF
Ditula angustiorana,GBIF
Diviana eudoreella,GBIF
Doa ampla,GBIF
Dolbogene hartwegii,GBIF
Doleromorpha porphyria,GBIF
Dolichomia binodulalis,GBIF
Dolichomia olinalis,GBIF
Dolichomia thymetusalis,GBIF
Dolichonyx oryzivorus,eBird
Dolocucullia dentilinea,GBIF
Dolocucullia minor,GBIF
Dolocucullia poolei,GBIF
Dolymorpha jada,GBIF
Donacaula amblyptepennis,GBIF
Donacaula aquilellus,GBIF
Donacaula longirostrallus,GBIF
Donacaula maximellus,GBIF
Donacaula melinella,GBIF
Donacaula melinellus,GBIF
Donacaula nitidellus,GBIF
Donacaula roscidellus,GBIF
Donacaula sordidellus,GBIF
Donacaula tripunctellus,GBIF
Donacaula unipunctellus,GBIF
Donacaula uxorialis,GBIF
Dorata atomophora,GBIF
Dorata inornatella,GBIF
Dorata lineata,GBIF
Dorithia semicirculana,GBIF
Dorithia trigonana,GBIF
Doryodes acta,GBIF
Doryodes bistrialis,GBIF
Doryodes broui,GBIF
Doryodes fulva,GBIF
Doryodes latistriga,GBIF
Doryodes spadaria,GBIF
Doryodes tenuistriga,GBIF
Doryodes unica,GBIF
Doxocopa laure,GBIF
Doxocopa pavon,GBIF
Doxocopa pavonii,GBIF
Drasteria biformata,GBIF
Drasteria convergens,GBIF
Drasteria divergens,GBIF
Drasteria edwardsii,GBIF
Drasteria eubapta,GBIF
Drasteria fumosa,GBIF
Drasteria howlandii,GBIF
Drasteria hudsonica,GBIF
Drasteria inepta,GBIF
Drasteria ingeniculata,GBIF
Drasteria maculosa,GBIF
Drasteria mirifica,GBIF
Drasteria nubicola,GBIF
Drasteria ochracea,GBIF
Drasteria pallescens,GBIF
Drasteria parallela,GBIF
Drasteria perplexa,GBIF
Drasteria petricola,GBIF
Drasteria pulchra,GBIF
Drasteria sabulosa,GBIF
Drasteria scrupulosa,GBIF
Drasteria stretchii,GBIF
Drasteria tejonica,GBIF
Drasteria walshi,GBIF
Drepanis coccinea,eBird
Drepanulatrix baueraria,GBIF
Drepanulatrix bifilata,GBIF
Drepanulatrix carnearia,GBIF
Drepanulatrix faeminaria,GBIF
Drepanulatrix falcataria,GBIF
Drepanulatrix hulstii,GBIF
Drepanulatrix monicaria,GBIF
Drepanulatrix nevadaria,GBIF
Drepanulatrix quadraria,GBIF
Drepanulatrix secundaria,GBIF
Drepanulatrix unicalcararia,GBIF
Dromaius novaehollandiae,eBird
Dryadaula terpsichorella,GBIF
Dryadaula visaliella,GBIF
Dryadula phaetusa,GBIF
Dryas iulia,GBIF
Dryas julia,GBIF
Dryobates nuttallii,eBird
Dryobates scalaris,eBird
Dryocopus pileatus,eBird
Dryotype opina,GBIF
Dufourea afasciata,GBIF
Dufourea australis,GBIF
Dufourea bernardina,GBIF
Dufourea brevicornis,GBIF
Dufourea calientensis,GBIF
Dufourea calochorti,GBIF
Dufourea contarovici,GBIF
Dufourea cuprea,GBIF
Dufourea dentipes,GBIF
Dufourea dilatipes,GBIF
Dufourea femorata,GBIF
Dufourea fimbriata,GBIF
Dufourea harveyi,GBIF
Dufourea holocyanea,GBIF
Dufourea leachi,GBIF
Dufourea longiceps,GBIF
Dufourea malacothricis,GBIF
Dufourea marginata,GBIF
Dufourea maura,GBIF
Dufourea mulleri,GBIF
Dufourea nemophilae,GBIF
Dufourea nudicornis,GBIF
Dufourea pectinipes,GBIF
Dufourea pulchricornis,GBIF
Dufourea rhamni,GBIF
Dufourea sandhouseae,GBIF
Dufourea scintilla,GBIF
Dufourea sparsipunctata,GBIF
Dufourea spilura,GBIF
Dufourea subdavidsoni,GBIF
Dufourea tinsleyi,GBIF
Dufourea trochantera,GBIF
Dufourea vandykei,GBIF
Dufourea vernalis,GBIF
Dufourea versatilis,GBIF
Dufourea virgata,GBIF
Duospina trichella,GBIF
Duponchelia fovealis,GBIF
Durangularia druana,GBIF
Durrantia amabilis,GBIF
Durrantia piperatella,GBIF
Dymasia dymas,GBIF
Dynamine dyonis,GBIF
Dynamine mylitta,GBIF
Dyotopasta yumaella,GBIF
Dypterygia ligata,GBIF
Dypterygia ordinarius,GBIF
Dypterygia patina,GBIF
Dypterygia rozmani,GBIF
Dysodia granulata,GBIF
Dyspyralis illocata,GBIF
Dyspyralis nigellus,GBIF
Dyspyralis ocala,GBIF
Dyspyralis puncticosta,GBIF
Dysschema howardi,GBIF
Dysschema mariamne,GBIF
Dysstroma brunneata,GBIF
Dysstroma colvillei,GBIF
Dysstroma formosa,GBIF
Dysstroma hersiliata,GBIF
Dysstroma hewlettaria,GBIF
Dysstroma mancipata,GBIF
Dysstroma ochrofuscaria,GBIF
Dysstroma pseudimmanata,GBIF
Dysstroma rutlandia,GBIF
Dysstroma sobria,GBIF
Dysstroma suspectata,GBIF
Eacles oslari,GBIF
Eana argentana,GBIF
Eana osseana,GBIF
Eccoptocera foetorivorans,GBIF
Eccritothrix guenterella,GBIF
Eccritothrix trimaculella,GBIF
Ecdytolopha coloradana,GBIF
Ecdytolopha nigrita,GBIF
Ecdytolopha occidentana,GBIF
Echelatus sempiternus,GBIF
Echinargus isola,GBIF
Eclectus polychloros,eBird
Ecliptopera atricolorata,GBIF
Ecliptopera silaceata,GBIF
Ectoedemia marmaropa,GBIF
Ectoedemia nyssaefoliella,GBIF
Ectoedemia occultella,GBIF
Ectoedemia rubifoliella,GBIF
Ectomyelois ceratoniae,GBIF
Ectopistes migratorius,eBird
Ectypia bivittata,GBIF
Ectypia clio,GBIF
Ectypia mexicana,GBIF
Edia minutissima,GBIF
Edia semiluna,GBIF
Egira baueri,GBIF
Egira cognata,GBIF
Egira crucialis,GBIF
Egira curialis,GBIF
Egira februalis,GBIF
Egira hiemalis,GBIF
Egira perlubens,GBIF
Egira rubrica,GBIF
Egira simplex,GBIF
Egira vanduzeei,GBIF
Egira variabilis,GBIF
Egretta caerulea,eBird
Egretta eulophotes,eBird
Egretta garzetta,eBird
Egretta gularis,eBird
Egretta rufescens,eBird
Egretta thula,eBird
Egretta tricolor,eBird
Eichlinia calabaza,GBIF
Eichlinia cucurbitae,GBIF
Eichlinia gloriosa,GBIF
Eichlinia grande,GBIF
Eichlinia snowii,GBIF
Eido trimaculella,GBIF
Eidophasia vanella,GBIF
Eilema tricolor,GBIF
Elachista acenteta,GBIF
Elachista albicapitella,GBIF
Elachista albidella,GBIF
Elachista angularis,GBIF
Elachista aristoteliella,GBIF
Elachista beothucella,GBIF
Elachista brachyelytrifoliella,GBIF
Elachista cana,GBIF
Elachista coniophora,GBIF
Elachista cucullata,GBIF
Elachista daeronella,GBIF
Elachista dasycara,GBIF
Elachista epimicta,GBIF
Elachista finarfinella,GBIF
Elachista freyerella,GBIF
Elachista fuliginea,GBIF
Elachista gildorella,GBIF
Elachista glenni,GBIF
Elachista griseicornis,GBIF
Elachista helodella,GBIF
Elachista herbigrada,GBIF
Elachista hololeuca,GBIF
Elachista illectella,GBIF
Elachista irrorata,GBIF
Elachista ischnella,GBIF
Elachista lamina,GBIF
Elachista leucosticta,GBIF
Elachista maculoscella,GBIF
Elachista madarella,GBIF
Elachista marachella,GBIF
Elachista maritimella,GBIF
Elachista ossuaria,GBIF
Elachista pelaena,GBIF
Elachista perniva,GBIF
Elachista pyrrha,GBIF
Elachista saccharella,GBIF
Elachista subalbidella,GBIF
Elachista symmorpha,GBIF
Elachista telcharella,GBIF
Elachista virgatula,GBIF
Elachista wieseriella,GBIF
Elaenia albiceps,eBird
Elaenia parvirostris,eBird
Elanoides forficatus,eBird
Elanus leucurus,eBird
Elaphria agrotina,GBIF
Elaphria alapallida,GBIF
Elaphria cornutinus,GBIF
Elaphria cyanympha,GBIF
Elaphria deltoides,GBIF
Elaphria devara,GBIF
Elaphria exesa,GBIF
Elaphria fuscimacula,GBIF
Elaphria georgei,GBIF
Elaphria hypophaea,GBIF
Elaphria nucicolora,GBIF
Elaphria trolia,GBIF
Elasmia cave,GBIF
Elasmia mandela,GBIF
Elasmia packardii,GBIF
Elatobia montelliella,GBIF
Electrostrymon endymion,GBIF
Elkalyce amyntula,GBIF
Elkalyce comyntas,GBIF
Elkalyce texana,GBIF
Ellabella editha,GBIF
Ellabella johnstoni,GBIF
Ellabella melanoclista,GBIF
Elophila atlantica,GBIF
Elophila ekthlipsis,GBIF
Elophila faulalis,GBIF
