scientific_name,state_code,source,observation_count
Gallinago delicata,CT,eBird,NA
Phalaropus tricolor,CT,eBird,NA
Phalaropus fulicarius,CT,eBird,NA
Phalaropus lobatus,CT,eBird,NA
Actitis macularius,CT,eBird,NA
Tringa solitaria,CT,eBird,NA
Tringa flavipes,CT,eBird,NA
Tringa semipalmata,CT,eBird,NA
Tringa erythropus,CT,eBird,NA
Tringa melanoleuca,CT,eBird,NA
Arenaria interpres,CT,eBird,NA
Calidris canutus,CT,eBird,NA
Calidris pugnax,CT,eBird,NA
Calidris acuminata,CT,eBird,NA
Calidris ferruginea,CT,eBird,NA
Calidris himantopus,CT,eBird,NA
Calidris ruficollis,CT,eBird,NA
Calidris subruficollis,CT,eBird,NA
Calidris alba,CT,eBird,NA
Calidris alpina,CT,eBird,NA
Calidris maritima,CT,eBird,NA
Calidris bairdii,CT,eBird,NA
Calidris minuta,CT,eBird,NA
Calidris fuscicollis,CT,eBird,NA
Calidris minutilla,CT,eBird,NA
Calidris melanotos,CT,eBird,NA
Calidris mauri,CT,eBird,NA
Calidris pusilla,CT,eBird,NA
Stercorarius longicaudus,CT,eBird,NA
Stercorarius parasiticus,CT,eBird,NA
Stercorarius pomarinus,CT,eBird,NA
Fratercula arctica,CT,eBird,NA
Cepphus grylle,CT,eBird,NA
Alca torda,CT,eBird,NA
Alle alle,CT,eBird,NA
Uria lomvia,CT,eBird,NA
Uria aalge,CT,eBird,NA
Hydrocoloeus minutus,CT,eBird,NA
Rhodostethia rosea,CT,eBird,NA
Rissa tridactyla,CT,eBird,NA
Pagophila eburnea,CT,eBird,NA
Xema sabini,CT,eBird,NA
Chroicocephalus philadelphia,CT,eBird,NA
Chroicocephalus ridibundus,CT,eBird,NA
Leucophaeus atricilla,CT,eBird,NA
Leucophaeus pipixcan,CT,eBird,NA
Larus canus,CT,eBird,NA
Larus brachyrhynchus,CT,eBird,NA
Larus delawarensis,CT,eBird,NA
Larus smithsonianus,CT,eBird,NA
Larus vegae,CT,eBird,NA
Larus marinus,CT,eBird,NA
Larus hyperboreus,CT,eBird,NA
Larus fuscus,CT,eBird,NA
Larus californicus,CT,eBird,NA
Larus schistisagus,CT,eBird,NA
Larus glaucoides,CT,eBird,NA
Rynchops niger,CT,eBird,NA
Onychoprion fuscatus,CT,eBird,NA
Onychoprion anaethetus,CT,eBird,NA
Sternula antillarum,CT,eBird,NA
Gelochelidon nilotica,CT,eBird,NA
Hydroprogne caspia,CT,eBird,NA
Chlidonias niger,CT,eBird,NA
Sterna forsteri,CT,eBird,NA
Sterna paradisaea,CT,eBird,NA
Sterna hirundo,CT,eBird,NA
Sterna dougallii,CT,eBird,NA
Thalasseus sandvicensis,CT,eBird,NA
Thalasseus maximus,CT,eBird,NA
Podilymbus podiceps,CT,eBird,NA
Podiceps auritus,CT,eBird,NA
Podiceps grisegena,CT,eBird,NA
Podiceps nigricollis,CT,eBird,NA
Aechmophorus occidentalis,CT,eBird,NA
Phaethon lepturus,CT,eBird,NA
Gavia stellata,CT,eBird,NA
Gavia pacifica,CT,eBird,NA
Gavia immer,CT,eBird,NA
Oceanites oceanicus,CT,eBird,NA
Pelagodroma marina,CT,eBird,NA
Hydrobates leucorhous,CT,eBird,NA
Hydrobates castro,CT,eBird,NA
Fulmarus glacialis,CT,eBird,NA
Pterodroma hasitata,CT,eBird,NA
Calonectris borealis,CT,eBird,NA
Ardenna gravis,CT,eBird,NA
Ardenna grisea,CT,eBird,NA
Puffinus puffinus,CT,eBird,NA
Puffinus lherminieri,CT,eBird,NA
Mycteria americana,CT,eBird,NA
Fregata magnificens,CT,eBird,NA
Morus bassanus,CT,eBird,NA
Sula leucogaster,CT,eBird,NA
Anhinga anhinga,CT,eBird,NA
Phalacrocorax carbo,CT,eBird,NA
Nannopterum auritum,CT,eBird,NA
Eudocimus albus,CT,eBird,NA
Plegadis falcinellus,CT,eBird,NA
Plegadis chihi,CT,eBird,NA
Platalea ajaja,CT,eBird,NA
Botaurus lentiginosus,CT,eBird,NA
Botaurus exilis,CT,eBird,NA
Nyctanassa violacea,CT,eBird,NA
Nycticorax nycticorax,CT,eBird,NA
Egretta caerulea,CT,eBird,NA
Egretta tricolor,CT,eBird,NA
Egretta thula,CT,eBird,NA
Egretta garzetta,CT,eBird,NA
Butorides virescens,CT,eBird,NA
Ardea ibis,CT,eBird,NA
Ardea alba,CT,eBird,NA
Ardea herodias,CT,eBird,NA
Pelecanus erythrorhynchos,CT,eBird,NA
Pelecanus occidentalis,CT,eBird,NA
Coragyps atratus,CT,eBird,NA
Cathartes aura,CT,eBird,NA
Pandion haliaetus,CT,eBird,NA
Elanus leucurus,CT,eBird,NA
Elanoides forficatus,CT,eBird,NA
Aquila chrysaetos,CT,eBird,NA
Accipiter striatus,CT,eBird,NA
Astur cooperii,CT,eBird,NA
Astur atricapillus,CT,eBird,NA
Circus hudsonius,CT,eBird,NA
Haliaeetus leucocephalus,CT,eBird,NA
Ictinia mississippiensis,CT,eBird,NA
Buteo platypterus,CT,eBird,NA
Buteo lineatus,CT,eBird,NA
Buteo albonotatus,CT,eBird,NA
Buteo swainsoni,CT,eBird,NA
Buteo jamaicensis,CT,eBird,NA
Buteo lagopus,CT,eBird,NA
Tyto furcata,CT,eBird,NA
Megascops asio,CT,eBird,NA
Bubo scandiacus,CT,eBird,NA
Bubo virginianus,CT,eBird,NA
Surnia ulula,CT,eBird,NA
Athene cunicularia,CT,eBird,NA
Strix varia,CT,eBird,NA
Strix nebulosa,CT,eBird,NA
Asio otus,CT,eBird,NA
Asio flammeus,CT,eBird,NA
Aegolius funereus,CT,eBird,NA
Aegolius acadicus,CT,eBird,NA
Megaceryle alcyon,CT,eBird,NA
Sphyrapicus varius,CT,eBird,NA
Melanerpes erythrocephalus,CT,eBird,NA
Melanerpes carolinus,CT,eBird,NA
Picoides arcticus,CT,eBird,NA
Dryobates pubescens,CT,eBird,NA
Leuconotopicus villosus,CT,eBird,NA
Dryocopus pileatus,CT,eBird,NA
Colaptes auratus,CT,eBird,NA
Falco sparverius,CT,eBird,NA
Falco columbarius,CT,eBird,NA
Falco rusticolus,CT,eBird,NA
Falco peregrinus,CT,eBird,NA
Nymphicus hollandicus,CT,eBird,NA
Melopsittacus undulatus,CT,eBird,NA
Trichoglossus moluccanus,CT,eBird,NA
Agapornis roseicollis,CT,eBird,NA
Poicephalus senegalus,CT,eBird,NA
Myiopsitta monachus,CT,eBird,NA
Eupsittula aurea,CT,eBird,NA
Aratinga nenday,CT,eBird,NA
Aratinga solstitialis,CT,eBird,NA
Contopus cooperi,CT,eBird,NA
Contopus virens,CT,eBird,NA
Empidonax flaviventris,CT,eBird,NA
Empidonax virescens,CT,eBird,NA
Empidonax alnorum,CT,eBird,NA
Empidonax traillii,CT,eBird,NA
Empidonax minimus,CT,eBird,NA
Empidonax wrightii,CT,eBird,NA
Empidonax difficilis,CT,eBird,NA
Sayornis phoebe,CT,eBird,NA
Sayornis saya,CT,eBird,NA
Myiarchus cinerascens,CT,eBird,NA
Myiarchus crinitus,CT,eBird,NA
Tyrannus melancholicus,CT,eBird,NA
Tyrannus vociferans,CT,eBird,NA
Tyrannus verticalis,CT,eBird,NA
Tyrannus tyrannus,CT,eBird,NA
Tyrannus dominicensis,CT,eBird,NA
Tyrannus forficatus,CT,eBird,NA
Tyrannus savana,CT,eBird,NA
Vireo griseus,CT,eBird,NA
Vireo bellii,CT,eBird,NA
Vireo flavifrons,CT,eBird,NA
Vireo solitarius,CT,eBird,NA
Vireo philadelphicus,CT,eBird,NA
Vireo gilvus,CT,eBird,NA
Vireo swainsoni,CT,eBird,NA
Vireo olivaceus,CT,eBird,NA
Lanius ludovicianus,CT,eBird,NA
Lanius borealis,CT,eBird,NA
Cyanocitta cristata,CT,eBird,NA
Coloeus monedula,CT,eBird,NA
Corvus brachyrhynchos,CT,eBird,NA
Corvus ossifragus,CT,eBird,NA
Corvus corax,CT,eBird,NA
Poecile atricapillus,CT,eBird,NA
Poecile hudsonicus,CT,eBird,NA
Baeolophus bicolor,CT,eBird,NA
Eremophila alpestris,CT,eBird,NA
Riparia riparia,CT,eBird,NA
Tachycineta bicolor,CT,eBird,NA
Tachycineta thalassina,CT,eBird,NA
Progne subis,CT,eBird,NA
Progne tapera,CT,eBird,NA
Stelgidopteryx serripennis,CT,eBird,NA
Hirundo rustica,CT,eBird,NA
Petrochelidon pyrrhonota,CT,eBird,NA
Petrochelidon fulva,CT,eBird,NA
Corthylio calendula,CT,eBird,NA
Regulus satrapa,CT,eBird,NA
Sitta carolinensis,CT,eBird,NA
Sitta canadensis,CT,eBird,NA
Certhia americana,CT,eBird,NA
Polioptila caerulea,CT,eBird,NA
Troglodytes aedon,CT,eBird,NA
Troglodytes hiemalis,CT,eBird,NA
Cistothorus stellaris,CT,eBird,NA
Cistothorus palustris,CT,eBird,NA
Thryothorus ludovicianus,CT,eBird,NA
Sturnus vulgaris,CT,eBird,NA
Dumetella carolinensis,CT,eBird,NA
Toxostoma rufum,CT,eBird,NA
Mimus polyglottos,CT,eBird,NA
Sialia sialis,CT,eBird,NA
Sialia currucoides,CT,eBird,NA
Myadestes townsendi,CT,eBird,NA
Ixoreus naevius,CT,eBird,NA
Catharus fuscescens,CT,eBird,NA
Catharus minimus,CT,eBird,NA
Catharus bicknelli,CT,eBird,NA
Catharus ustulatus,CT,eBird,NA
Catharus guttatus,CT,eBird,NA
Hylocichla mustelina,CT,eBird,NA
Turdus pilaris,CT,eBird,NA
Turdus migratorius,CT,eBird,NA
Oenanthe oenanthe,CT,eBird,NA
Bombycilla garrulus,CT,eBird,NA
Bombycilla cedrorum,CT,eBird,NA
Euplectes franciscanus,CT,eBird,NA
Euplectes orix,CT,eBird,NA
Taeniopygia guttata,CT,eBird,NA
Estrilda melpoda,CT,eBird,NA
Passer domesticus,CT,eBird,NA
Passer montanus,CT,eBird,NA
Anthus rubescens,CT,eBird,NA
Anthus spragueii,CT,eBird,NA
Fringilla montifringilla,CT,eBird,NA
Hesperiphona vespertina,CT,eBird,NA
Pinicola enucleator,CT,eBird,NA
Haemorhous mexicanus,CT,eBird,NA
Haemorhous purpureus,CT,eBird,NA
Crithagra mozambica,CT,eBird,NA
Acanthis flammea,CT,eBird,NA
Loxia curvirostra,CT,eBird,NA
Loxia leucoptera,CT,eBird,NA
Carduelis carduelis,CT,eBird,NA
Spinus pinus,CT,eBird,NA
Spinus tristis,CT,eBird,NA
Calcarius lapponicus,CT,eBird,NA
Calcarius ornatus,CT,eBird,NA
Calcarius pictus,CT,eBird,NA
Plectrophenax nivalis,CT,eBird,NA
Ammodramus savannarum,CT,eBird,NA
Spizella passerina,CT,eBird,NA
Spizella pallida,CT,eBird,NA
Spizella pusilla,CT,eBird,NA
Spizella breweri,CT,eBird,NA
Chondestes grammacus,CT,eBird,NA
Calamospiza melanocorys,CT,eBird,NA
Spizelloides arborea,CT,eBird,NA
Passerella iliaca,CT,eBird,NA
Junco hyemalis,CT,eBird,NA
Zonotrichia leucophrys,CT,eBird,NA
Zonotrichia atricapilla,CT,eBird,NA
Zonotrichia querula,CT,eBird,NA
Zonotrichia albicollis,CT,eBird,NA
Pooecetes gramineus,CT,eBird,NA
Ammospiza leconteii,CT,eBird,NA
Ammospiza maritima,CT,eBird,NA
Ammospiza nelsoni,CT,eBird,NA
Ammospiza caudacuta,CT,eBird,NA
Passerculus sandwichensis,CT,eBird,NA
Centronyx henslowii,CT,eBird,NA
Melospiza melodia,CT,eBird,NA
Melospiza lincolnii,CT,eBird,NA
Melospiza georgiana,CT,eBird,NA
Pipilo chlorurus,CT,eBird,NA
Pipilo maculatus,CT,eBird,NA
Pipilo erythrophthalmus,CT,eBird,NA
Icteria virens,CT,eBird,NA
Xanthocephalus xanthocephalus,CT,eBird,NA
Dolichonyx oryzivorus,CT,eBird,NA
Sturnella neglecta,CT,eBird,NA
Sturnella magna,CT,eBird,NA
Icterus spurius,CT,eBird,NA
Icterus bullockii,CT,eBird,NA
Icterus galbula,CT,eBird,NA
Agelaius phoeniceus,CT,eBird,NA
Molothrus ater,CT,eBird,NA
Euphagus carolinus,CT,eBird,NA
Euphagus cyanocephalus,CT,eBird,NA
Quiscalus quiscula,CT,eBird,NA
Quiscalus major,CT,eBird,NA
Seiurus aurocapilla,CT,eBird,NA
Helmitheros vermivorum,CT,eBird,NA
Parkesia motacilla,CT,eBird,NA
Parkesia noveboracensis,CT,eBird,NA
Vermivora chrysoptera,CT,eBird,NA
Vermivora cyanoptera,CT,eBird,NA
Mniotilta varia,CT,eBird,NA
Protonotaria citrea,CT,eBird,NA
Leiothlypis peregrina,CT,eBird,NA
Leiothlypis celata,CT,eBird,NA
Leiothlypis ruficapilla,CT,eBird,NA
Oporornis agilis,CT,eBird,NA
Geothlypis tolmiei,CT,eBird,NA
Geothlypis philadelphia,CT,eBird,NA
Geothlypis formosa,CT,eBird,NA
Geothlypis trichas,CT,eBird,NA
Setophaga citrina,CT,eBird,NA
Setophaga ruticilla,CT,eBird,NA
Setophaga tigrina,CT,eBird,NA
Setophaga cerulea,CT,eBird,NA
Setophaga americana,CT,eBird,NA
Setophaga magnolia,CT,eBird,NA
Setophaga castanea,CT,eBird,NA
Setophaga fusca,CT,eBird,NA
Setophaga aestiva,CT,eBird,NA
Setophaga pensylvanica,CT,eBird,NA
Setophaga striata,CT,eBird,NA
Setophaga caerulescens,CT,eBird,NA
Setophaga palmarum,CT,eBird,NA
Setophaga pinus,CT,eBird,NA
Setophaga coronata,CT,eBird,NA
Setophaga dominica,CT,eBird,NA
Setophaga discolor,CT,eBird,NA
Setophaga nigrescens,CT,eBird,NA
Setophaga townsendi,CT,eBird,NA
Setophaga occidentalis,CT,eBird,NA
Setophaga virens,CT,eBird,NA
Cardellina canadensis,CT,eBird,NA
Cardellina pusilla,CT,eBird,NA
Piranga rubra,CT,eBird,NA
Piranga olivacea,CT,eBird,NA
Piranga ludoviciana,CT,eBird,NA
Cardinalis cardinalis,CT,eBird,NA
Pheucticus ludovicianus,CT,eBird,NA
Pheucticus melanocephalus,CT,eBird,NA
Passerina caerulea,CT,eBird,NA
Passerina amoena,CT,eBird,NA
Passerina cyanea,CT,eBird,NA
Passerina ciris,CT,eBird,NA
Spiza americana,CT,eBird,NA
Sporophila telasco,CT,eBird,NA
Dendrocygna autumnalis,DE,eBird,NA
Dendrocygna bicolor,DE,eBird,NA
Anser indicus,DE,eBird,NA
Anser caerulescens,DE,eBird,NA
Anser rossii,DE,eBird,NA
Anser anser,DE,eBird,NA
Anser cygnoides,DE,eBird,NA
Anser albifrons,DE,eBird,NA
Anser brachyrhynchus,DE,eBird,NA
Branta bernicla,DE,eBird,NA
Branta leucopsis,DE,eBird,NA
Branta hutchinsii,DE,eBird,NA
Branta canadensis,DE,eBird,NA
Cygnus olor,DE,eBird,NA
Cygnus atratus,DE,eBird,NA
Cygnus buccinator,DE,eBird,NA
Cygnus columbianus,DE,eBird,NA
Cygnus cygnus,DE,eBird,NA
Alopochen aegyptiaca,DE,eBird,NA
Tadorna ferruginea,DE,eBird,NA
Tadorna tadorna,DE,eBird,NA
Cairina moschata,DE,eBird,NA
Callonetta leucophrys,DE,eBird,NA
Aix sponsa,DE,eBird,NA
Spatula querquedula,DE,eBird,NA
Spatula discors,DE,eBird,NA
Spatula cyanoptera,DE,eBird,NA
Spatula clypeata,DE,eBird,NA
Mareca strepera,DE,eBird,NA
Mareca penelope,DE,eBird,NA
Mareca americana,DE,eBird,NA
Anas platyrhynchos,DE,eBird,NA
Anas rubripes,DE,eBird,NA
Anas acuta,DE,eBird,NA
Anas crecca,DE,eBird,NA
Aythya valisineria,DE,eBird,NA
Aythya americana,DE,eBird,NA
Aythya collaris,DE,eBird,NA
Aythya fuligula,DE,eBird,NA
Aythya marila,DE,eBird,NA
Aythya affinis,DE,eBird,NA
Somateria spectabilis,DE,eBird,NA
Somateria mollissima,DE,eBird,NA
Histrionicus histrionicus,DE,eBird,NA
Melanitta perspicillata,DE,eBird,NA
Melanitta deglandi,DE,eBird,NA
Melanitta americana,DE,eBird,NA
Clangula hyemalis,DE,eBird,NA
Bucephala albeola,DE,eBird,NA
Bucephala clangula,DE,eBird,NA
Lophodytes cucullatus,DE,eBird,NA
Mergus merganser,DE,eBird,NA
Mergus serrator,DE,eBird,NA
Oxyura jamaicensis,DE,eBird,NA
Numida meleagris,DE,eBird,NA
Colinus virginianus,DE,eBird,NA
Meleagris gallopavo,DE,eBird,NA
Bonasa umbellus,DE,eBird,NA
Phasianus colchicus,DE,eBird,NA
Pavo cristatus,DE,eBird,NA
Gallus gallus,DE,eBird,NA
Alectoris chukar,DE,eBird,NA
Columba livia,DE,eBird,NA
Streptopelia decaocto,DE,eBird,NA
Columbina passerina,DE,eBird,NA
Zenaida asiatica,DE,eBird,NA
Zenaida macroura,DE,eBird,NA
Coccyzus americanus,DE,eBird,NA
Coccyzus erythropthalmus,DE,eBird,NA
Chordeiles minor,DE,eBird,NA
Antrostomus carolinensis,DE,eBird,NA
Antrostomus vociferus,DE,eBird,NA
Chaetura pelagica,DE,eBird,NA
Archilochus colubris,DE,eBird,NA
Archilochus alexandri,DE,eBird,NA
Selasphorus calliope,DE,eBird,NA
Selasphorus rufus,DE,eBird,NA
Selasphorus sasin,DE,eBird,NA
Rallus elegans,DE,eBird,NA
Rallus crepitans,DE,eBird,NA
Rallus limicola,DE,eBird,NA
Porzana carolina,DE,eBird,NA
Gallinula galeata,DE,eBird,NA
Fulica americana,DE,eBird,NA
Porphyrio martinica,DE,eBird,NA
Porphyrio poliocephalus,DE,eBird,NA
Coturnicops noveboracensis,DE,eBird,NA
Laterallus jamaicensis,DE,eBird,NA
Antigone canadensis,DE,eBird,NA
Himantopus mexicanus,DE,eBird,NA
Recurvirostra americana,DE,eBird,NA
Haematopus palliatus,DE,eBird,NA
Pluvialis squatarola,DE,eBird,NA
Pluvialis apricaria,DE,eBird,NA
Pluvialis dominica,DE,eBird,NA
Pluvialis fulva,DE,eBird,NA
Charadrius vociferus,DE,eBird,NA
Charadrius semipalmatus,DE,eBird,NA
Charadrius melodus,DE,eBird,NA
Vanellus vanellus,DE,eBird,NA
Anarhynchus wilsonia,DE,eBird,NA
Bartramia longicauda,DE,eBird,NA
Numenius hudsonicus,DE,eBird,NA
Numenius phaeopus,DE,eBird,NA
Limosa lapponica,DE,eBird,NA
Limosa limosa,DE,eBird,NA
Limosa haemastica,DE,eBird,NA
Limosa fedoa,DE,eBird,NA
Limnodromus griseus,DE,eBird,NA
Limnodromus scolopaceus,DE,eBird,NA
Scolopax minor,DE,eBird,NA
Gallinago delicata,DE,eBird,NA
Phalaropus tricolor,DE,eBird,NA
Phalaropus fulicarius,DE,eBird,NA
Phalaropus lobatus,DE,eBird,NA
Actitis macularius,DE,eBird,NA
Tringa solitaria,DE,eBird,NA
Tringa glareola,DE,eBird,NA
Tringa flavipes,DE,eBird,NA
Tringa semipalmata,DE,eBird,NA
Tringa melanoleuca,DE,eBird,NA
Arenaria interpres,DE,eBird,NA
Calidris canutus,DE,eBird,NA
Calidris pugnax,DE,eBird,NA
Calidris acuminata,DE,eBird,NA
Calidris ferruginea,DE,eBird,NA
Calidris himantopus,DE,eBird,NA
Calidris ruficollis,DE,eBird,NA
Calidris subruficollis,DE,eBird,NA
Calidris alba,DE,eBird,NA
Calidris alpina,DE,eBird,NA
Calidris maritima,DE,eBird,NA
Calidris bairdii,DE,eBird,NA
Calidris minuta,DE,eBird,NA
Calidris fuscicollis,DE,eBird,NA
Calidris minutilla,DE,eBird,NA
Calidris melanotos,DE,eBird,NA
Calidris mauri,DE,eBird,NA
Calidris pusilla,DE,eBird,NA
Stercorarius longicaudus,DE,eBird,NA
Stercorarius parasiticus,DE,eBird,NA
Stercorarius pomarinus,DE,eBird,NA
Stercorarius skua,DE,eBird,NA
Stercorarius maccormicki,DE,eBird,NA
Fratercula arctica,DE,eBird,NA
Cepphus grylle,DE,eBird,NA
Alca torda,DE,eBird,NA
Alle alle,DE,eBird,NA
Uria lomvia,DE,eBird,NA
Uria aalge,DE,eBird,NA
Synthliboramphus antiquus,DE,eBird,NA
Hydrocoloeus minutus,DE,eBird,NA
Rhodostethia rosea,DE,eBird,NA
Rissa tridactyla,DE,eBird,NA
Xema sabini,DE,eBird,NA
Chroicocephalus philadelphia,DE,eBird,NA
Chroicocephalus novaehollandiae,DE,eBird,NA
Chroicocephalus ridibundus,DE,eBird,NA
Leucophaeus atricilla,DE,eBird,NA
Leucophaeus pipixcan,DE,eBird,NA
Larus canus,DE,eBird,NA
Larus delawarensis,DE,eBird,NA
Larus dominicanus,DE,eBird,NA
Larus smithsonianus,DE,eBird,NA
Larus marinus,DE,eBird,NA
Larus hyperboreus,DE,eBird,NA
Larus fuscus,DE,eBird,NA
Larus californicus,DE,eBird,NA
Larus schistisagus,DE,eBird,NA
Larus glaucoides,DE,eBird,NA
Rynchops niger,DE,eBird,NA
Onychoprion fuscatus,DE,eBird,NA
Onychoprion anaethetus,DE,eBird,NA
Sternula antillarum,DE,eBird,NA
Gelochelidon nilotica,DE,eBird,NA
Hydroprogne caspia,DE,eBird,NA
Chlidonias hybrida,DE,eBird,NA
Chlidonias niger,DE,eBird,NA
Chlidonias leucopterus,DE,eBird,NA
Sterna forsteri,DE,eBird,NA
Sterna paradisaea,DE,eBird,NA
Sterna hirundo,DE,eBird,NA
Sterna dougallii,DE,eBird,NA
Thalasseus sandvicensis,DE,eBird,NA
Thalasseus elegans,DE,eBird,NA
Thalasseus maximus,DE,eBird,NA
Phoenicopterus ruber,DE,eBird,NA
Podilymbus podiceps,DE,eBird,NA
Podiceps auritus,DE,eBird,NA
Podiceps grisegena,DE,eBird,NA
Podiceps nigricollis,DE,eBird,NA
Aechmophorus occidentalis,DE,eBird,NA
Phaethon lepturus,DE,eBird,NA
Gavia stellata,DE,eBird,NA
Gavia pacifica,DE,eBird,NA
Gavia immer,DE,eBird,NA
Oceanites oceanicus,DE,eBird,NA
Pelagodroma marina,DE,eBird,NA
Hydrobates leucorhous,DE,eBird,NA
Hydrobates castro,DE,eBird,NA
Fulmarus glacialis,DE,eBird,NA
Pterodroma hasitata,DE,eBird,NA
Calonectris borealis,DE,eBird,NA
Calonectris diomedea,DE,eBird,NA
Ardenna gravis,DE,eBird,NA
Ardenna grisea,DE,eBird,NA
Puffinus puffinus,DE,eBird,NA
Puffinus lherminieri,DE,eBird,NA
Mycteria americana,DE,eBird,NA
Fregata magnificens,DE,eBird,NA
Morus bassanus,DE,eBird,NA
Sula leucogaster,DE,eBird,NA
Sula dactylatra,DE,eBird,NA
Anhinga anhinga,DE,eBird,NA
Phalacrocorax carbo,DE,eBird,NA
Nannopterum auritum,DE,eBird,NA
Nannopterum brasilianum,DE,eBird,NA
Eudocimus albus,DE,eBird,NA
Plegadis falcinellus,DE,eBird,NA
Plegadis chihi,DE,eBird,NA
Platalea ajaja,DE,eBird,NA
Botaurus lentiginosus,DE,eBird,NA
Botaurus exilis,DE,eBird,NA
Nyctanassa violacea,DE,eBird,NA
Nycticorax nycticorax,DE,eBird,NA
Egretta caerulea,DE,eBird,NA
Egretta tricolor,DE,eBird,NA
Egretta rufescens,DE,eBird,NA
Egretta thula,DE,eBird,NA
Egretta garzetta,DE,eBird,NA
Butorides virescens,DE,eBird,NA
Ardea ibis,DE,eBird,NA
Ardea alba,DE,eBird,NA
Ardea herodias,DE,eBird,NA
Pelecanus erythrorhynchos,DE,eBird,NA
Pelecanus occidentalis,DE,eBird,NA
Coragyps atratus,DE,eBird,NA
Cathartes aura,DE,eBird,NA
Pandion haliaetus,DE,eBird,NA
Elanoides forficatus,DE,eBird,NA
Aquila chrysaetos,DE,eBird,NA
Accipiter striatus,DE,eBird,NA
Astur cooperii,DE,eBird,NA
Astur atricapillus,DE,eBird,NA
Circus hudsonius,DE,eBird,NA
Haliaeetus leucocephalus,DE,eBird,NA
Ictinia mississippiensis,DE,eBird,NA
Buteo platypterus,DE,eBird,NA
Buteo lineatus,DE,eBird,NA
Buteo albonotatus,DE,eBird,NA
Buteo swainsoni,DE,eBird,NA
Buteo jamaicensis,DE,eBird,NA
Buteo lagopus,DE,eBird,NA
Tyto furcata,DE,eBird,NA
Megascops asio,DE,eBird,NA
Bubo scandiacus,DE,eBird,NA
Bubo virginianus,DE,eBird,NA
Athene cunicularia,DE,eBird,NA
Strix varia,DE,eBird,NA
Asio otus,DE,eBird,NA
Asio flammeus,DE,eBird,NA
Aegolius acadicus,DE,eBird,NA
Megaceryle alcyon,DE,eBird,NA
Sphyrapicus varius,DE,eBird,NA
Melanerpes erythrocephalus,DE,eBird,NA
Melanerpes carolinus,DE,eBird,NA
Dryobates pubescens,DE,eBird,NA
Leuconotopicus villosus,DE,eBird,NA
Dryocopus pileatus,DE,eBird,NA
Colaptes auratus,DE,eBird,NA
Caracara plancus,DE,eBird,NA
Daptrius chimachima,DE,eBird,NA
Falco sparverius,DE,eBird,NA
Falco columbarius,DE,eBird,NA
Falco rusticolus,DE,eBird,NA
Falco peregrinus,DE,eBird,NA
Nymphicus hollandicus,DE,eBird,NA
Melopsittacus undulatus,DE,eBird,NA
Myiopsitta monachus,DE,eBird,NA
Aratinga nenday,DE,eBird,NA
Contopus cooperi,DE,eBird,NA
Contopus virens,DE,eBird,NA
Empidonax flaviventris,DE,eBird,NA
Empidonax virescens,DE,eBird,NA
Empidonax alnorum,DE,eBird,NA
Empidonax traillii,DE,eBird,NA
Empidonax minimus,DE,eBird,NA
Empidonax hammondii,DE,eBird,NA
Empidonax wrightii,DE,eBird,NA
Empidonax oberholseri,DE,eBird,NA
Empidonax difficilis,DE,eBird,NA
Sayornis phoebe,DE,eBird,NA
Sayornis saya,DE,eBird,NA
Pyrocephalus rubinus,DE,eBird,NA
Myiarchus cinerascens,DE,eBird,NA
Myiarchus crinitus,DE,eBird,NA
Tyrannus melancholicus,DE,eBird,NA
Tyrannus verticalis,DE,eBird,NA
Tyrannus tyrannus,DE,eBird,NA
Tyrannus dominicensis,DE,eBird,NA
Tyrannus forficatus,DE,eBird,NA
Tyrannus savana,DE,eBird,NA
Vireo griseus,DE,eBird,NA
Vireo bellii,DE,eBird,NA
Vireo flavifrons,DE,eBird,NA
Vireo solitarius,DE,eBird,NA
Vireo philadelphicus,DE,eBird,NA
Vireo gilvus,DE,eBird,NA
Vireo olivaceus,DE,eBird,NA
Lanius ludovicianus,DE,eBird,NA
Lanius borealis,DE,eBird,NA
Cyanocitta cristata,DE,eBird,NA
Corvus brachyrhynchos,DE,eBird,NA
Corvus ossifragus,DE,eBird,NA
Corvus corax,DE,eBird,NA
Poecile carolinensis,DE,eBird,NA
Poecile atricapillus,DE,eBird,NA
Poecile hudsonicus,DE,eBird,NA
Baeolophus bicolor,DE,eBird,NA
Eremophila alpestris,DE,eBird,NA
Riparia riparia,DE,eBird,NA
Tachycineta bicolor,DE,eBird,NA
Progne subis,DE,eBird,NA
Stelgidopteryx serripennis,DE,eBird,NA
Hirundo rustica,DE,eBird,NA
Petrochelidon pyrrhonota,DE,eBird,NA
Petrochelidon fulva,DE,eBird,NA
Corthylio calendula,DE,eBird,NA
Regulus satrapa,DE,eBird,NA
Sitta carolinensis,DE,eBird,NA
Sitta pusilla,DE,eBird,NA
Sitta canadensis,DE,eBird,NA
Certhia americana,DE,eBird,NA
Polioptila caerulea,DE,eBird,NA
Troglodytes aedon,DE,eBird,NA
Troglodytes hiemalis,DE,eBird,NA
Cistothorus stellaris,DE,eBird,NA
Cistothorus palustris,DE,eBird,NA
Thryothorus ludovicianus,DE,eBird,NA
Thryomanes bewickii,DE,eBird,NA
Sturnus vulgaris,DE,eBird,NA
Dumetella carolinensis,DE,eBird,NA
Toxostoma rufum,DE,eBird,NA
