"scientific_name","common_name","state_code","designation","source","source_url"
"Acer platanoides","Norway maple","OR","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","OH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","NJ","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","NY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","WV","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","DC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","WA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Acer platanoides","Norway maple","RI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3002"
"Ailanthus altissima  (P.","tree-of-heaven","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","CA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","MI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","CT","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","DE","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","WI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","MD","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","OR","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
"Ailanthus altissima  (P.","tree-of-heaven","OH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3003"
