scientific_name,state_code,native_status
Ilex opaca,AL,Native
Ilex verticillata,AL,Native
Ilex vomitoria,AL,Native
Arisaema dracontium,AL,Native
Arisaema triphyllum,AL,Native
Landoltia punctata,AL,Native
Lemna aequinoctialis,AL,Native
Lemna minuta,AL,Native
Lemna obscura,AL,Native
Lemna turionifera,AL,Native
Lemna valdiviana,AL,Native
Orontium aquaticum,AL,Native
Peltandra sagittifolia,AL,Native
Peltandra virginica,AL,Native
Pistia stratiotes,AL,Native
Spirodela polyrhiza,AL,Native
Wolffia brasiliensis,AL,Native
Wolffia columbiana,AL,Native
Wolffiella gladiata,AL,Native
Aralia racemosa,AL,Native
Aralia spinosa,AL,Native
Hydrocotyle bonariensis,AL,Native
Hydrocotyle prolifera,AL,Native
Hydrocotyle ranunculoides,AL,Native
Hydrocotyle umbellata,AL,Native
Hydrocotyle verticillata,AL,Native
Panax quinquefolius,AL,Native
Panax trifolius,AL,Native
Rhapidophyllum hystrix,AL,Native
Sabal minor,AL,Native
Sabal palmetto,AL,Native
Serenoa repens,AL,Native
Asarum canadense,AL,Native
Endodeca serpentaria,AL,Native
Hexastylis arifolia,AL,Native
Hexastylis heterophylla,AL,Native
Hexastylis shuttleworthii,AL,Native
Hexastylis speciosa,AL,Native
Isotrema macrophyllum,AL,Native
Isotrema tomentosum,AL,Native
Asplenium abscissum,AL,Native
Asplenium ×boydstoniae,AL,Native
Asplenium bradleyi,AL,Native
Asplenium ebenoides,AL,Native
Asplenium ×gravesii,AL,Native
Asplenium monanthes,AL,Native
Asplenium montanum,AL,Native
Asplenium pinnatifidum,AL,Native
Asplenium platyneuron,AL,Native
Asplenium resiliens,AL,Native
Asplenium rhizophyllum,AL,Native
Asplenium ruta-muraria,AL,Native
Asplenium scolopendrium,AL,Native
Asplenium trichomanes,AL,Native
Asplenium ×trudellii,AL,Native
Asplenium tutwilerae,AL,Native
Acanthospermum hispidum,AL,Native
Achillea millefolium,AL,Native
Acmella repens,AL,Native
Ageratina altissima,AL,Native
Ageratina aromatica,AL,Native
Ageratum conyzoides,AL,Native
Ambrosia artemisiifolia,AL,Native
Ambrosia bidentata,AL,Native
Ambrosia psilostachya,AL,Native
Ambrosia trifida,AL,Native
Amphiachyris dracunculoides,AL,Native
Antennaria parlinii,AL,Native
Antennaria plantaginifolia,AL,Native
Antennaria solitaria,AL,Native
Arnica acaulis,AL,Native
Arnoglossum atriplicifolium,AL,Native
Arnoglossum diversifolium,AL,Native
Arnoglossum ovatum,AL,Native
Arnoglossum plantagineum,AL,Native
Arnoglossum reniforme,AL,Native
Arnoglossum sulcatum,AL,Native
Artemisia ludoviciana,AL,Native
Astranthium integrifolium,AL,Native
Baccharis angustifolia,AL,Native
Baccharis glomeruliflora,AL,Native
Baccharis halimifolia,AL,Native
Balduina angustifolia,AL,Native
Balduina atropurpurea,AL,Native
Balduina uniflora,AL,Native
Berlandiera pumila,AL,Native
Bidens aristosa,AL,Native
Bidens bipinnata,AL,Native
Bidens cernua,AL,Native
Bidens discoidea,AL,Native
Bidens frondosa,AL,Native
Bidens laevis,AL,Native
Bidens mitis,AL,Native
Bidens pilosa,AL,Native
Bidens trichosperma,AL,Native
Bidens tripartita,AL,Native
Bidens vulgata,AL,Native
Bigelowia nudata,AL,Native
Bigelowia nuttallii,AL,Native
Boltonia asteroides,AL,Native
Boltonia diffusa,AL,Native
Borrichia frutescens,AL,Native
Bradburia pilosa,AL,Native
Brickellia cordifolia,AL,Native
Brickellia eupatorioides,AL,Native
Brintonia discoidea,AL,Native
Calyptocarpus vialis,AL,Native
Carphephorus odoratissimus,AL,Native
Carphephorus paniculatus,AL,Native
Carphephorus pseudoliatris,AL,Native
Chaptalia tomentosa,AL,Native
