scientific_name,state_code,native_status
Viola primulifolia,DC,Native
Viola pubescens,DC,Native
Viola ×ravida,DC,Native
Viola sagittata,DC,Native
Viola sororia,DC,Native
Viola striata,DC,Native
Ampelopsis arborea,DC,Native
Parthenocissus quinquefolia,DC,Native
Vitis aestivalis,DC,Native
Vitis cinerea,DC,Native
Vitis labrusca,DC,Native
Vitis riparia,DC,Native
Vitis rupestris,DC,Native
Vitis vulpina,DC,Native
Woodsia obtusa,DC,Native
Xyris difformis,DC,Native
Xyris torta,DC,Native
Kallstroemia parviflora,DC,Native
Acorus calamus,DC,Introduced
Viburnum dilatatum,DC,Introduced
Viburnum plicatum,DC,Introduced
Viburnum sieboldii,DC,Introduced
Allium sativum,DC,Introduced
Allium vineale,DC,Introduced
Amaranthus cruentus,DC,Introduced
Amaranthus hybridus,DC,Introduced
Amaranthus retroflexus,DC,Introduced
Atriplex patula,DC,Introduced
Atriplex prostrata,DC,Introduced
Celosia cristata,DC,Introduced
Chenopodiastrum murale,DC,Introduced
Chenopodium vulvaria,DC,Introduced
Dysphania ambrosioides,DC,Introduced
Dysphania botrys,DC,Introduced
Dysphania pumilio,DC,Introduced
Gomphrena globosa,DC,Introduced
Salsola kali,DC,Introduced
Salsola tragus,DC,Introduced
Galanthus elwesii,DC,Introduced
Galanthus nivalis,DC,Introduced
Narcissus ×medioluteus,DC,Introduced
Narcissus poeticus,DC,Introduced
Narcissus pseudonarcissus,DC,Introduced
Aegopodium podagraria,DC,Introduced
Bupleurum rotundifolium,DC,Introduced
Carum carvi,DC,Introduced
Chaerophyllum bulbosum,DC,Introduced
Conium maculatum,DC,Introduced
Daucus carota,DC,Introduced
Heracleum sphondylium,DC,Introduced
Oenanthe aquatica,DC,Introduced
Oenanthe javanica,DC,Introduced
Pastinaca sativa,DC,Introduced
Scandix pecten-veneris,DC,Introduced
Seseli libanotis,DC,Introduced
Torilis arvensis,DC,Introduced
Torilis japonica,DC,Introduced
Vinca minor,DC,Introduced
Ilex crenata,DC,Introduced
Pinellia ternata,DC,Introduced
Aralia elata,DC,Introduced
Hedera helix,DC,Introduced
Hydrocotyle sibthorpioides,DC,Introduced
Asparagus officinalis,DC,Introduced
Anthemis arvensis,DC,Introduced
Anthemis cotula,DC,Introduced
Arctium minus,DC,Introduced
Arctium tomentosum,DC,Introduced
Artemisia annua,DC,Introduced
Artemisia vulgaris,DC,Introduced
Bellis perennis,DC,Introduced
Carduus nutans,DC,Introduced
Centaurea calcitrapa,DC,Introduced
Centaurea cyanus,DC,Introduced
Centaurea jacea,DC,Introduced
Centaurea nigra,DC,Introduced
Centaurea nigrescens,DC,Introduced
Chondrilla juncea,DC,Introduced
Cichorium intybus,DC,Introduced
Cirsium arvense,DC,Introduced
Cirsium vulgare,DC,Introduced
Crepis capillaris,DC,Introduced
Crepis pulchra,DC,Introduced
Crepis tectorum,DC,Introduced
Erigeron canadensis,DC,Introduced
Filago vulgaris,DC,Introduced
Galinsoga parviflora,DC,Introduced
Galinsoga quadriradiata,DC,Introduced
Galinsoga urticifolia,DC,Introduced
Gamochaeta pensylvanica,DC,Introduced
Gnaphalium uliginosum,DC,Introduced
Helminthotheca echioides,DC,Introduced
Hieracium caespitosum,DC,Introduced
Hypochaeris radicata,DC,Introduced
Inula britannica,DC,Introduced
Lactuca saligna,DC,Introduced
Lactuca sativa,DC,Introduced
Lactuca serriola,DC,Introduced
Lactuca virosa,DC,Introduced
Lapsana communis,DC,Introduced
Leontodon saxatilis,DC,Introduced
Leucanthemum vulgare,DC,Introduced
Onopordum acanthium,DC,Introduced
Scorzoneroides autumnalis,DC,Introduced
Senecio vulgaris,DC,Introduced
Silybum marianum,DC,Introduced
Sonchus arvensis,DC,Introduced
Sonchus asper,DC,Introduced
Sonchus oleraceus,DC,Introduced
Tanacetum balsamita,DC,Introduced
Tanacetum parthenium,DC,Introduced
Tanacetum vulgare,DC,Introduced
Taraxacum erythrospermum,DC,Introduced
Taraxacum officinale,DC,Introduced
Tragopogon dubius,DC,Introduced
Tragopogon porrifolius,DC,Introduced
Tussilago farfara,DC,Introduced
Xanthium spinosum,DC,Introduced
Youngia japonica,DC,Introduced
Youngia thunbergiana,DC,Introduced
Impatiens walleriana,DC,Introduced
Berberis thunbergii,DC,Introduced
Mahonia bealei,DC,Introduced
Nandina domestica,DC,Introduced
Alnus glutinosa,DC,Introduced
Catalpa ovata,DC,Introduced
Anchusa arvensis,DC,Introduced
Asperugo procumbens,DC,Introduced
Borago officinalis,DC,Introduced
Buglossoides arvensis,DC,Introduced
Cynoglossum officinale,DC,Introduced
Echium pustulatum,DC,Introduced
Echium vulgare,DC,Introduced
Heliotropium amplexicaule,DC,Introduced
Heliotropium europaeum,DC,Introduced
Lappula squarrosa,DC,Introduced
Myosotis arvensis,DC,Introduced
Myosotis scorpioides,DC,Introduced
Myosotis stricta,DC,Introduced
Symphytum officinale,DC,Introduced
Alliaria petiolata,DC,Introduced
Arabidopsis thaliana,DC,Introduced
Armoracia rusticana,DC,Introduced
Barbarea verna,DC,Introduced
Barbarea vulgaris,DC,Introduced
Brassica juncea,DC,Introduced
Brassica nigra,DC,Introduced
Brassica oleracea,DC,Introduced
Brassica rapa,DC,Introduced
Camelina microcarpa,DC,Introduced
Camelina sativa,DC,Introduced
Capsella bursa-pastoris,DC,Introduced
Cardamine hirsuta,DC,Introduced
Conringia orientalis,DC,Introduced
Descurainia sophia,DC,Introduced
Diplotaxis muralis,DC,Introduced
Draba verna,DC,Introduced
Erucastrum gallicum,DC,Introduced
Erysimum cheiranthoides,DC,Introduced
Hesperis matronalis,DC,Introduced
Isatis tinctoria,DC,Introduced
Lepidium campestre,DC,Introduced
Lepidium didymum,DC,Introduced
Lepidium draba,DC,Introduced
Lobularia maritima,DC,Introduced
Lunaria annua,DC,Introduced
Microthlaspi perfoliatum,DC,Introduced
Nasturtium officinale,DC,Introduced
Raphanus sativus,DC,Introduced
Rorippa sylvestris,DC,Introduced
Sinapis alba,DC,Introduced
Sinapis arvensis,DC,Introduced
Sisymbrium altissimum,DC,Introduced
Sisymbrium officinale,DC,Introduced
Thlaspi arvense,DC,Introduced
Buxus sempervirens,DC,Introduced
Pachysandra terminalis,DC,Introduced
Campanula rapunculoides,DC,Introduced
Cannabis sativa,DC,Introduced
Humulus japonicus,DC,Introduced
Humulus lupulus,DC,Introduced
Lonicera japonica,DC,Introduced
Lonicera maackii,DC,Introduced
Lonicera morrowii,DC,Introduced
Lonicera xylosteum,DC,Introduced
Agrostemma githago,DC,Introduced
Arenaria serpyllifolia,DC,Introduced
Atocion armeria,DC,Introduced
Cerastium fontanum,DC,Introduced
Cerastium glomeratum,DC,Introduced
Cerastium semidecandrum,DC,Introduced
Dianthus armeria,DC,Introduced
Dianthus deltoides,DC,Introduced
Gypsophila muralis,DC,Introduced
Myosoton aquaticum,DC,Introduced
Petrorhagia saxifraga,DC,Introduced
Saponaria officinalis,DC,Introduced
Scleranthus annuus,DC,Introduced
Silene flos-cuculi,DC,Introduced
Silene latifolia,DC,Introduced
Silene noctiflora,DC,Introduced
Spergula arvensis,DC,Introduced
Spergularia rubra,DC,Introduced
Stellaria graminea,DC,Introduced
Stellaria media,DC,Introduced
Vaccaria hispanica,DC,Introduced
Celastrus orbiculatus,DC,Introduced
Elaeodendron fortunei,DC,Introduced
Euonymus alatus,DC,Introduced
Tarenaya hassleriana,DC,Introduced
Commelina communis,DC,Introduced
Murdannia keisak,DC,Introduced
Convolvulus arvensis,DC,Introduced
Ipomoea coccinea,DC,Introduced
Ipomoea purpurea,DC,Introduced
Ipomoea quamoclit,DC,Introduced
Carex caryophyllea,DC,Introduced
Carex divulsa,DC,Introduced
Carex hirta,DC,Introduced
Carex spicata,DC,Introduced
Cyperus difformis,DC,Introduced
Cyperus fuscus,DC,Introduced
Cyperus iria,DC,Introduced
Cyperus microiria,DC,Introduced
Cyperus rotundus,DC,Introduced
Kyllinga gracillima,DC,Introduced
Dioscorea polystachya,DC,Introduced
Dipsacus fullonum,DC,Introduced
Elaeagnus pungens,DC,Introduced
Elaeagnus umbellata,DC,Introduced
Euphorbia cyparissias,DC,Introduced
Euphorbia helioscopia,DC,Introduced
Mercurialis annua,DC,Introduced
Ricinus communis,DC,Introduced
Albizia julibrissin,DC,Introduced
Arachis hypogaea,DC,Introduced
Cytisus scoparius,DC,Introduced
Genista tinctoria,DC,Introduced
Kummerowia stipulacea,DC,Introduced
Kummerowia striata,DC,Introduced
Lablab purpureus,DC,Introduced
Lathyrus latifolius,DC,Introduced
Lespedeza cuneata,DC,Introduced
Lotus corniculatus,DC,Introduced
Medicago arabica,DC,Introduced
Medicago lupulina,DC,Introduced
Medicago sativa,DC,Introduced
Melilotus officinalis,DC,Introduced
Phaseolus vulgaris,DC,Introduced
Pueraria montana,DC,Introduced
Securigera varia,DC,Introduced
Spartium junceum,DC,Introduced
Styphnolobium japonicum,DC,Introduced
Trifolium arvense,DC,Introduced
Trifolium aureum,DC,Introduced
Trifolium campestre,DC,Introduced
Trifolium dubium,DC,Introduced
Trifolium hybridum,DC,Introduced
Trifolium incarnatum,DC,Introduced
Trifolium pratense,DC,Introduced
Trifolium repens,DC,Introduced
Trifolium resupinatum,DC,Introduced
Vicia faba,DC,Introduced
Vicia hirsuta,DC,Introduced
Vicia narbonensis,DC,Introduced
Vicia sativa,DC,Introduced
Vicia tetrasperma,DC,Introduced
Vicia villosa,DC,Introduced
Vigna unguiculata,DC,Introduced
Wisteria floribunda,DC,Introduced
Wisteria sinensis,DC,Introduced
Castanea mollissima,DC,Introduced
Castanea sativa,DC,Introduced
Quercus acutissima,DC,Introduced
Fumaria officinalis,DC,Introduced
Erodium cicutarium,DC,Introduced
Geranium columbinum,DC,Introduced
Geranium dissectum,DC,Introduced
Geranium molle,DC,Introduced
Geranium pusillum,DC,Introduced
Ginkgo biloba,DC,Introduced
Myriophyllum aquaticum,DC,Introduced
Myriophyllum spicatum,DC,Introduced
Hemerocallis fulva,DC,Introduced
Muscari botryoides,DC,Introduced
Muscari neglectum,DC,Introduced
Ornithogalum nutans,DC,Introduced
Ornithogalum umbellatum,DC,Introduced
Othocallis siberica,DC,Introduced
Deutzia ×magnifica,DC,Introduced
Deutzia scabra,DC,Introduced
Hydrangea paniculata,DC,Introduced
Hydrilla verticillata,DC,Introduced
Hypericum perforatum,DC,Introduced
Belamcanda chinensis,DC,Introduced
Iris germanica,DC,Introduced
Iris pseudacorus,DC,Introduced
Ajuga reptans,DC,Introduced
Chaiturus marrubiastrum,DC,Introduced
Clinopodium calamintha,DC,Introduced
Glechoma hederacea,DC,Introduced
Lamium amplexicaule,DC,Introduced
Lamium purpureum,DC,Introduced
Leonurus cardiaca,DC,Introduced
Marrubium vulgare,DC,Introduced
Melissa officinalis,DC,Introduced
Mentha ×gracilis,DC,Introduced
Mentha ×piperita,DC,Introduced
Mentha ×rotundifolia,DC,Introduced
Mentha spicata,DC,Introduced
Nepeta cataria,DC,Introduced
Perilla frutescens,DC,Introduced
Prunella laciniata,DC,Introduced
Stachys arvensis,DC,Introduced
Stachys palustris,DC,Introduced
Stachys recta,DC,Introduced
Vitex agnus-castus,DC,Introduced
Akebia quinata,DC,Introduced
Linum usitatissimum,DC,Introduced
Lagerstroemia indica,DC,Introduced
Lythrum salicaria,DC,Introduced
Trapa natans,DC,Introduced
Abelmoschus esculentus,DC,Introduced
Abutilon theophrasti,DC,Introduced
Alcea rosea,DC,Introduced
Althaea cannabina,DC,Introduced
Firmiana simplex,DC,Introduced
Hibiscus syriacus,DC,Introduced
Hibiscus trionum,DC,Introduced
Malva moschata,DC,Introduced
Malva neglecta,DC,Introduced
Malva sylvestris,DC,Introduced
Malva verticillata,DC,Introduced
Marsilea quadrifolia,DC,Introduced
Nymphoides peltata,DC,Introduced
Broussonetia papyrifera,DC,Introduced
Fatoua villosa,DC,Introduced
Ficus carica,DC,Introduced
Morus alba,DC,Introduced
Mirabilis jalapa,DC,Introduced
Forsythia viridissima,DC,Introduced
Jasminum officinale,DC,Introduced
Ligustrum obtusifolium,DC,Introduced
Ligustrum ovalifolium,DC,Introduced
Ligustrum sinense,DC,Introduced
Ligustrum tschonoskii,DC,Introduced
Ligustrum vulgare,DC,Introduced
Syringa vulgaris,DC,Introduced
Ludwigia grandiflora,DC,Introduced
Epipactis helleborine,DC,Introduced
Orobanche minor,DC,Introduced
Chelidonium majus,DC,Introduced
Papaver dubium,DC,Introduced
Papaver rhoeas,DC,Introduced
Paulownia tomentosa,DC,Introduced
Mazus pumilus,DC,Introduced
Chaenorhinum minus,DC,Introduced
Kickxia elatine,DC,Introduced
Linaria vulgaris,DC,Introduced
Plantago lanceolata,DC,Introduced
Plantago major,DC,Introduced
Veronica agrestis,DC,Introduced
Veronica arvensis,DC,Introduced
Veronica austriaca,DC,Introduced
Veronica chamaedrys,DC,Introduced
Veronica filiformis,DC,Introduced
Veronica hederifolia,DC,Introduced
Veronica persica,DC,Introduced
Veronica polita,DC,Introduced
Agrostis capillaris,DC,Introduced
Agrostis gigantea,DC,Introduced
Aira caryophyllea,DC,Introduced
Alopecurus geniculatus,DC,Introduced
Alopecurus myosuroides,DC,Introduced
Anthoxanthum odoratum,DC,Introduced
Apera spica-venti,DC,Introduced
Arrhenatherum elatius,DC,Introduced
Arthraxon hispidus,DC,Introduced
Avena sativa,DC,Introduced
Bambusa bambos,DC,Introduced
Bambusa vulgaris,DC,Introduced
Bromus catharticus,DC,Introduced
Bromus erectus,DC,Introduced
Bromus hordeaceus,DC,Introduced
Bromus inermis,DC,Introduced
Bromus racemosus,DC,Introduced
Bromus secalinus,DC,Introduced
Bromus sterilis,DC,Introduced
Bromus tectorum,DC,Introduced
Cenchrus setaceus,DC,Introduced
Cynodon dactylon,DC,Introduced
Dactylis glomerata,DC,Introduced
Digitaria ischaemum,DC,Introduced
Digitaria sanguinalis,DC,Introduced
Echinochloa crus-galli,DC,Introduced
Echinochloa frumentacea,DC,Introduced
Eleusine indica,DC,Introduced
Elymus repens,DC,Introduced
Eragrostis cilianensis,DC,Introduced
Eragrostis elongata,DC,Introduced
Eragrostis minor,DC,Introduced
Festuca filiformis,DC,Introduced
Festuca trachyphylla,DC,Introduced
Holcus lanatus,DC,Introduced
Hordeum murinum,DC,Introduced
Hordeum vulgare,DC,Introduced
Lolium perenne,DC,Introduced
Microstegium vimineum,DC,Introduced
Miscanthus sinensis,DC,Introduced
Panicum miliaceum,DC,Introduced
Paspalum dilatatum,DC,Introduced
Phalaris aquatica,DC,Introduced
Phalaris canariensis,DC,Introduced
Phleum pratense,DC,Introduced
Phyllostachys aureosulcata,DC,Introduced
Pleioblastus argenteostriatus,DC,Introduced
Pleioblastus pygmaeus,DC,Introduced
Poa annua,DC,Introduced
Poa compressa,DC,Introduced
Poa trivialis,DC,Introduced
Saccharum ravennae,DC,Introduced
Schedonorus arundinaceus,DC,Introduced
Schedonorus pratensis,DC,Introduced
Secale cereale,DC,Introduced
Setaria ×ambigua,DC,Introduced
Setaria faberi,DC,Introduced
Setaria italica,DC,Introduced
Setaria pumila,DC,Introduced
Setaria verticillata,DC,Introduced
Setaria verticilliformis,DC,Introduced
Setaria viridis,DC,Introduced
Sorghum bicolor,DC,Introduced
Sorghum halepense,DC,Introduced
Triticum aestivum,DC,Introduced
Vulpia myuros,DC,Introduced
Fagopyrum esculentum,DC,Introduced
Fallopia convolvulus,DC,Introduced
Fallopia dumetorum,DC,Introduced
Persicaria hydropiper,DC,Introduced
Persicaria longiseta,DC,Introduced
Persicaria orientalis,DC,Introduced
Persicaria perfoliata,DC,Introduced
Polygonum patulum,DC,Introduced
Reynoutria japonica,DC,Introduced
Reynoutria sachalinensis,DC,Introduced
Rheum ×hybridum,DC,Introduced
Rumex acetosella,DC,Introduced
Rumex ×acutus,DC,Introduced
Rumex crispus,DC,Introduced
Rumex obtusifolius,DC,Introduced
Rumex patientia,DC,Introduced
Potamogeton crispus,DC,Introduced
Lysimachia arvensis,DC,Introduced
Lysimachia clethroides,DC,Introduced
Lysimachia nummularia,DC,Introduced
Lysimachia punctata,DC,Introduced
Pteris multifida,DC,Introduced
Pteris vittata,DC,Introduced
Clematis terniflora,DC,Introduced
Consolida ajacis,DC,Introduced
Consolida regalis,DC,Introduced
Eranthis hyemalis,DC,Introduced
Ficaria verna,DC,Introduced
Helleborus orientalis,DC,Introduced
Ranunculus arvensis,DC,Introduced
Ranunculus bulbosus,DC,Introduced
Ranunculus parviflorus,DC,Introduced
Ranunculus repens,DC,Introduced
Aphanes australis,DC,Introduced
Chaenomeles speciosa,DC,Introduced
Crataegus monogyna,DC,Introduced
Malus floribunda,DC,Introduced
Malus prunifolia,DC,Introduced
Malus pumila,DC,Introduced
Malus spectabilis,DC,Introduced
Photinia villosa,DC,Introduced
Potentilla argentea,DC,Introduced
Potentilla indica,DC,Introduced
Potentilla recta,DC,Introduced
Potentilla reptans,DC,Introduced
Prunus avium,DC,Introduced
Prunus cerasus,DC,Introduced
Prunus mahaleb,DC,Introduced
Prunus persica,DC,Introduced
Prunus spinosa,DC,Introduced
Prunus subhirtella,DC,Introduced
Prunus yedoensis,DC,Introduced
Pyracantha coccinea,DC,Introduced
Pyrus calleryana,DC,Introduced
Pyrus communis,DC,Introduced
Pyrus pyrifolia,DC,Introduced
Rhodotypos scandens,DC,Introduced
Rosa canina,DC,Introduced
Rosa micrantha,DC,Introduced
Rosa multiflora,DC,Introduced
Rosa rubiginosa,DC,Introduced
Rubus armeniacus,DC,Introduced
Rubus bifrons,DC,Introduced
Rubus laciniatus,DC,Introduced
Rubus phoenicolasius,DC,Introduced
Sorbus aucuparia,DC,Introduced
Spiraea prunifolia,DC,Introduced
Cruciata pedemontana,DC,Introduced
Galium arvense,DC,Introduced
Galium mollugo,DC,Introduced
Galium sherardia,DC,Introduced
Galium verum,DC,Introduced
Liriope spicata,DC,Introduced
Ruta graveolens,DC,Introduced
Populus alba,DC,Introduced
Populus ×canescens,DC,Introduced
Populus nigra,DC,Introduced
Salix alba,DC,Introduced
Salix babylonica,DC,Introduced
Salix caprea,DC,Introduced
Salix cinerea,DC,Introduced
Salix ×fragilis,DC,Introduced
Salix ×meyeriana,DC,Introduced
Salix purpurea,DC,Introduced
Salix ×sepulcralis,DC,Introduced
Salvinia molesta,DC,Introduced
Acer palmatum,DC,Introduced
Acer platanoides,DC,Introduced
Acer pseudoplatanus,DC,Introduced
Koelreuteria paniculata,DC,Introduced
Verbascum blattaria,DC,Introduced
Verbascum phlomoides,DC,Introduced
Verbascum thapsus,DC,Introduced
Ailanthus altissima,DC,Introduced
Datura stramonium,DC,Introduced
Lycium barbarum,DC,Introduced
Lycium chinense,DC,Introduced
Nicandra physalodes,DC,Introduced
Petunia axillaris,DC,Introduced
Physalis philadelphica,DC,Introduced
Solanum dulcamara,DC,Introduced
Solanum nigrum,DC,Introduced
Symplocos paniculata,DC,Introduced
Taxus baccata,DC,Introduced
Typha angustifolia,DC,Introduced
Ulmus glabra,DC,Introduced
Ulmus parvifolia,DC,Introduced
Ulmus pumila,DC,Introduced
Boehmeria nivea,DC,Introduced
Valerianella locusta,DC,Introduced
Verbena officinalis,DC,Introduced
Viola patrinii,DC,Introduced
Viola tricolor,DC,Introduced
Ampelopsis glandulosa,DC,Introduced
Parthenocissus tricuspidata,DC,Introduced
Chenopodium album,DC,Introduced
Calystegia sepium,DC,Introduced
Poa pratensis,DC,Introduced
Avicennia germinans,FL,Native
Dicliptera brachiata,FL,Native
Dicliptera sexangularis,FL,Native
Dyschoriste angusta,FL,Native
Dyschoriste humistrata,FL,Native
Dyschoriste oblongifolia,FL,Native
Elytraria caroliniensis,FL,Native
Hygrophila lacustris,FL,Native
Justicia americana,FL,Native
Justicia angusta,FL,Native
Justicia cooleyi,FL,Native
Justicia crassifolia,FL,Native
Justicia lanceolata,FL,Native
Justicia ovata,FL,Native
Nelsonia canescens,FL,Native
Ruellia blechum,FL,Native
Ruellia caroliniensis,FL,Native
Ruellia malacosperma,FL,Native
Ruellia noctiflora,FL,Native
Ruellia pedunculata,FL,Native
Stenandrium dulce,FL,Native
Yeatesia viridiflora,FL,Native
Viburnum acerifolium,FL,Native
Viburnum dentatum,FL,Native
Viburnum nudum,FL,Native
Viburnum obovatum,FL,Native
Viburnum recognitum,FL,Native
Viburnum rufidulum,FL,Native
Agave decipiens,FL,Native
Agave neglecta,FL,Native
Manfreda virginica,FL,Native
Schoenolirion albiflorum,FL,Native
Schoenolirion croceum,FL,Native
Yucca aloifolia,FL,Native
Yucca filamentosa,FL,Native
Yucca flaccida,FL,Native
Yucca gloriosa,FL,Native
Cypselea humifusa,FL,Native
Sesuvium maritimum,FL,Native
Sesuvium portulacastrum,FL,Native
Trianthema portulacastrum,FL,Native
Echinodorus berteroi,FL,Native
Echinodorus cordifolius,FL,Native
Echinodorus floridanus,FL,Native
Helanthium tenellum,FL,Native
Hydrocleys nymphoides,FL,Native
Sagittaria australis,FL,Native
Sagittaria chapmanii,FL,Native
Sagittaria engelmanniana,FL,Native
Sagittaria filiformis,FL,Native
Sagittaria graminea,FL,Native
Sagittaria isoetiformis,FL,Native
Sagittaria kurziana,FL,Native
Sagittaria lancifolia,FL,Native
Sagittaria latifolia,FL,Native
Sagittaria platyphylla,FL,Native
Sagittaria subulata,FL,Native
Sagittaria weatherbiana,FL,Native
Allium canadense,FL,Native
Allium cuthbertii,FL,Native
Nothoscordum bivalve,FL,Native
Liquidambar styraciflua,FL,Native
Alternanthera caracasana,FL,Native
Alternanthera flavescens,FL,Native
Alternanthera maritima,FL,Native
Alternanthera pungens,FL,Native
Amaranthus albus,FL,Native
Amaranthus australis,FL,Native
Amaranthus blitoides,FL,Native
Amaranthus cannabinus,FL,Native
Amaranthus crassipes,FL,Native
Amaranthus dubius,FL,Native
Amaranthus floridanus,FL,Native
Amaranthus palmeri,FL,Native
Amaranthus polygonoides,FL,Native
Amaranthus spinosus,FL,Native
Atriplex mucronata,FL,Native
Blutaparon vermiculare,FL,Native
Celosia argentea,FL,Native
Celosia nitida,FL,Native
Chenopodium berlandieri,FL,Native
Froelichia floridana,FL,Native
Gomphrena serrata,FL,Native
Iresine diffusa,FL,Native
Iresine rhizomatosa,FL,Native
Salicornia bigelovii,FL,Native
Sarcocornia ambigua,FL,Native
Suaeda linearis,FL,Native
Cooperia pedunculata,FL,Native
Crinum americanum,FL,Native
Hymenocallis choctawensis,FL,Native
Hymenocallis crassifolia,FL,Native
Hymenocallis duvalensis,FL,Native
Hymenocallis franklinensis,FL,Native
Hymenocallis gholsonii,FL,Native
Hymenocallis godfreyi,FL,Native
Hymenocallis henryae,FL,Native
Hymenocallis latifolia,FL,Native
Hymenocallis occidentalis,FL,Native
Hymenocallis palmeri,FL,Native
Hymenocallis puntagordensis,FL,Native
Hymenocallis rotata,FL,Native
Hymenocallis tridentata,FL,Native
Zephyranthes atamasca,FL,Native
Zephyranthes grandiflora,FL,Native
Zephyranthes rosea,FL,Native
Zephyranthes simpsonii,FL,Native
Zephyranthes treatiae,FL,Native
Metopium toxiferum,FL,Native
Rhus aromatica,FL,Native
Rhus copallinum,FL,Native
Rhus glabra,FL,Native
Rhus michauxii,FL,Native
Toxicodendron pubescens,FL,Native
Toxicodendron radicans,FL,Native
Toxicodendron vernix,FL,Native
Anemia adiantifolia,FL,Native
Anemia wrightii,FL,Native
Annona glabra,FL,Native
Annona squamosa,FL,Native
Asimina angustifolia,FL,Native
Asimina incana,FL,Native
Asimina ×nashii,FL,Native
Asimina obovata,FL,Native
Asimina parviflora,FL,Native
Asimina pygmea,FL,Native
Asimina reticulata,FL,Native
Asimina spatulata,FL,Native
Asimina tetramera,FL,Native
Asimina triloba,FL,Native
Deeringothamnus pulchellus,FL,Native
Deeringothamnus rugelii,FL,Native
Angelica dentata,FL,Native
Angelica venenosa,FL,Native
Bowlesia incana,FL,Native
Centella asiatica,FL,Native
Chaerophyllum procumbens,FL,Native
Chaerophyllum tainturieri,FL,Native
Cicuta bulbifera,FL,Native
Cicuta maculata,FL,Native
Cryptotaenia canadensis,FL,Native
Daucus pusillus,FL,Native
Eryngium aquaticum,FL,Native
Eryngium aromaticum,FL,Native
Eryngium baldwinii,FL,Native
Eryngium cuneifolium,FL,Native
Eryngium foetidum,FL,Native
Eryngium integrifolium,FL,Native
Eryngium prostratum,FL,Native
Eryngium yuccifolium,FL,Native
Ligusticum canadense,FL,Native
Lilaeopsis carolinensis,FL,Native
Lilaeopsis chinensis,FL,Native
Oxypolis rigidior,FL,Native
Oxypolis ternata,FL,Native
Ptilimnium capillaceum,FL,Native
Sanicula canadensis,FL,Native
Sanicula marilandica,FL,Native
Sanicula odorata,FL,Native
Sanicula smallii,FL,Native
Sium suave,FL,Native
Spermolepis divaricata,FL,Native
Spermolepis echinata,FL,Native
Spermolepis inermis,FL,Native
Thaspium barbinode,FL,Native
Thaspium chapmanii,FL,Native
Thaspium trifoliatum,FL,Native
Tiedemannia filiformis,FL,Native
Trepocarpus aethusae,FL,Native
Zizia aptera,FL,Native
Zizia aurea,FL,Native
Zizia trifoliata,FL,Native
Amsonia ciliata,FL,Native
Amsonia rigida,FL,Native
Amsonia tabernaemontana,FL,Native
Angadenia berteroi,FL,Native
Apocynum cannabinum,FL,Native
Asclepias amplexicaulis,FL,Native
Asclepias cinerea,FL,Native
Asclepias connivens,FL,Native
Asclepias curassavica,FL,Native
Asclepias curtissii,FL,Native
Asclepias feayi,FL,Native
Asclepias humistrata,FL,Native
Asclepias incarnata,FL,Native
Asclepias lanceolata,FL,Native
Asclepias longifolia,FL,Native
Asclepias michauxii,FL,Native
Asclepias obovata,FL,Native
Asclepias pedicellata,FL,Native
Asclepias perennis,FL,Native
Asclepias rubra,FL,Native
Asclepias tomentosa,FL,Native
Asclepias tuberosa,FL,Native
Asclepias variegata,FL,Native
Asclepias verticillata,FL,Native
Asclepias viridiflora,FL,Native
Asclepias viridis,FL,Native
Asclepias viridula,FL,Native
Cynanchum blodgettii,FL,Native
Cynanchum laeve,FL,Native
Cynanchum northropiae,FL,Native
Cynanchum scoparium,FL,Native
Echites umbellatus,FL,Native
Funastrum angustifolium,FL,Native
Funastrum clausum,FL,Native
Gonolobus suberosus,FL,Native
Matelea alabamensis,FL,Native
Matelea baldwyniana,FL,Native
Matelea flavidula,FL,Native
Matelea floridana,FL,Native
Matelea pubiflora,FL,Native
Pentalinon luteum,FL,Native
Plumeria obtusa,FL,Native
Rhabdadenia biflora,FL,Native
Thyrsanthella difformis,FL,Native
Vallesia antillana,FL,Native
Ilex ambigua,FL,Native
Ilex amelanchier,FL,Native
Ilex ×attenuata,FL,Native
Ilex cassine,FL,Native
Ilex coriacea,FL,Native
Ilex decidua,FL,Native
Ilex glabra,FL,Native
Ilex krugiana,FL,Native
Ilex longipes,FL,Native
Ilex myrtifolia,FL,Native
Ilex opaca,FL,Native
Ilex verticillata,FL,Native
Ilex vomitoria,FL,Native
Arisaema dracontium,FL,Native
Arisaema triphyllum,FL,Native
Dieffenbachia seguine,FL,Native
Landoltia punctata,FL,Native
Lemna aequinoctialis,FL,Native
Lemna minor,FL,Native
Lemna minuta,FL,Native
Lemna obscura,FL,Native
Lemna valdiviana,FL,Native
Orontium aquaticum,FL,Native
Peltandra sagittifolia,FL,Native
Peltandra virginica,FL,Native
Philodendron hederaceum,FL,Native
Pistia stratiotes,FL,Native
Spirodela polyrhiza,FL,Native
Wolffia brasiliensis,FL,Native
Wolffia columbiana,FL,Native
Wolffiella gladiata,FL,Native
Wolffiella lingulata,FL,Native
Wolffiella oblonga,FL,Native
Aralia spinosa,FL,Native
Hydrocotyle bonariensis,FL,Native
Hydrocotyle prolifera,FL,Native
Hydrocotyle ranunculoides,FL,Native
Hydrocotyle umbellata,FL,Native
