"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"","Abies amabilis","Perennial","Tree","Native","No"
"","Abies balsamea","Perennial","Tree","Native","No"
"","Acer rubrum","Perennial","Tree","Native","No"
"","Phragmites australis","Perennial","Graminoid","Both","Yes"
"","Abelmoschus moschatus","Perennial","Forb/Herb","Introduced","No"
