"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ABUM","Abronia umbellata Lam.","","","",""
"ABUMB","Abronia umbellata Lam. ssp. acutalata","","","",""
"ABUMU","Abronia umbellata Lam. ssp. alba","","","",""
"ABUMB","Abronia umbellata Lam. ssp. breviflora","","","",""
"ABUMU","Abronia umbellata Lam. ssp. platyphylla","","","",""
"ABUMU","Abronia umbellata Lam. ssp. umbellata","","","",""
"ABUMU","Abronia umbellata Lam. ssp. variabilis","","","",""
"ABUMB","Abronia umbellata Lam. var. acutalata","","","",""
"ABUMU","Abronia variabilis Standl.","","","",""
"ABVI","Abronia villosa S. Watson","","","",""
"ABVIA","Abronia villosa S. Watson var. aurita","","","",""
"ABVIV","Abronia villosa S. Watson var. villosa","","","",""
"ABROT","Abrothallus De Not.","","","",""
"ABBE2","Abrothallus bertianus De Not.","","","",""
"ABBR3","Abrothallus bryoriarum Hafellner","","","",""
"ABCE","Abrothallus cetrariae Kotte","","","",""
"ABCL","Abrothallus cladoniae R. Sant. & D. Hawksw.","","","",""
"PHOXO","Abrothallus oxysporus Tul.","","","",""
"ABPA5","Abrothallus parmeliarum","","","",""
"ABPE2","Abrothallus peyritschii","","","",""
"ABPR5","Abrothallus prodiens","","","",""
"LIMA15","Abrothallus usneae auct.","","","",""
"ABWE","Abrothallus welwitschii Tul.","","","",""
"ABRUS","Abrus Adans.","","","",""
"ABPR3","Abrus abrus","","","",""
"ABPR3","Abrus precatorius L.","","","",""
"ABSCO","Absconditella Vezda","","","",""
"ABSP","Absconditella sphagnorum Vezda & Poelt","","","",""
"ABTR3","Absconditella trivialis","","","",""
"ABUTI","Abutilon Mill.","","","",""
"ABAB","Abutilon abutiloides","","","",""
"ABTH","Abutilon abutilon","","","",""
"ABAB","Abutilon americanum","","","",""
"ABINA","Abutilon asiaticum","","","",""
"ABAU","Abutilon auritum","","","",""
"ABTH","Abutilon avicennae Gaertn.","","","",""
"ABBE","Abutilon berlandieri A. Gray ex S. Watson","","","",""
"ABBE","Abutilon californicum auct. non Benth.","","","",""
"ABHU","Abutilon commutatum auct. non K. Schum.","","","",""
"HECR3","Abutilon crispum","","","",""
"ABER","Abutilon eremitopetalum Caum","","","",""
