"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"CIOCC","Cirsium pastoris J.T. Howell","","","",""
"CIPE4","Cirsium peckii L.F. Hend.","","","",""
"CIWH","Cirsium perennans","","","",""
"CIPE5","Cirsium perplexans","","","",""
"CIPI","Cirsium pitcheri","","","",""
"CICA11","Cirsium plattense","","","",""
"CIEA","Cirsium polyphyllum","","","",""
"CIPR2","Cirsium praeteriens J.F. Macbr.","","","",""
"CIOCV","Cirsium proteanum J.T. Howell","","","",""
"CNBE","Cirsium pugnax Sommier & Levier","","","",""
"CICA10","Cirsium pulchellum","","","",""
"CICA10","Cirsium pulchellum","","","",""
"CIRO","Cirsium pulchellum","","","",""
"CICA10","Cirsium pulchellum","","","",""
"CIPU3","Cirsium pulcherrimum","","","",""
"CIPU4","Cirsium pumilum Spreng.","","","",""
"CIHI","Cirsium pumilum Spreng. ssp. hillii","","","",""
"CIHI","Cirsium pumilum Spreng. var. hillii","","","",""
"CIPY2","Cirsium pyrenaicum","","","",""
"CIQU2","Cirsium quercetorum","","","",""
"CIQU2","Cirsium quercetorum","","","",""
"CIQU2","Cirsium quercetorum","","","",""
"CIQU2","Cirsium quercetorum","","","",""
"CISC2","Cirsium quercetorum","","","",""
"CIQU2","Cirsium quercetorum","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE","Cirsium remotifolium","","","",""
"CIRE2","Cirsium repandum Michx.","","","",""
"CIVI","Cirsium revolutum","","","",""
"CIRH","Cirsium rhothophilum S.F. Blake","","","",""
"CIRO","Cirsium rothrockii","","","",""
"CIRU2","Cirsium rusbyi","","","",""
"CIRY","Cirsium rydbergii Petr.","","","",""
"CISC4","Cirsium scabrum","","","",""
"CISC","Cirsium scapanolepis Petr.","","","",""
"CISC2","Cirsium scariosum Nutt.","","","",""
"CISC2","Cirsium scariosum Nutt. var. scariosum","","","",""
"CISC2","Cirsium scariosum Nutt. var. thorneae S.L. Welsh","","","",""
"CISC3","Cirsium scopulorum","","","",""
"CIAR4","Cirsium setosum","","","",""
"CIHOH","Cirsium smallii Britton","","","",""
"CISC","Cirsium spathulifolium Rydb.","","","",""
"CIHOH","Cirsium spinosissimum auct. non","","","",""
"CIRE","Cirsium stenolepidum Nutt.","","","",""
"CISU","Cirsium subniveum Rydb.","","","",""
"CIEN2","Cirsium terraenigrae Shinners","","","",""
"CITE2","Cirsium texanum Buckley","","","",""
"CITE2","Cirsium texanum Buckley var. stenolepis Shinners","","","",""
"CISC2","Cirsium tioganum","","","",""
"CISC2","Cirsium tioganum","","","",""
"CISC2","Cirsium tioganum","","","",""
"CIUNT","Cirsium tracyi","","","",""
"CICY","Cirsium triacanthum Petr.","","","",""
"CITU","Cirsium turneri Warnock","","","",""
"CIEA","Cirsium tweedyi","","","",""
"CIMU2","Cirsium tweedyi auct. non","","","",""
"CIUN","Cirsium undulatum","","","",""
"CIUNU","Cirsium undulatum","","","",""
"CIUNT","Cirsium undulatum","","","",""
"CIUNU","Cirsium undulatum","","","",""
"CINE","Cirsium utahense Petr.","","","",""
"CIVA5","Cirsium validus Greene [excluded]","","","",""
"CIHYH","Cirsium vaseyi","","","",""
"CIHYV","Cirsium vaseyi","","","",""
"CIVE","Cirsium vernale","","","",""
"CIVI4","Cirsium vinaceum Wooton & Standl.","","","",""
"CIVI6","Cirsium virginense S.L. Welsh","","","",""
"CIVI","Cirsium virginianum","","","",""
"CIHOV","Cirsium vittatum Small","","","",""
"CIVU","Cirsium vulgare","","","",""
"CIQU2","Cirsium walkerianum Petr.","","","",""
"CINE","Cirsium wallowense M. Peck","","","",""
"CIWH","Cirsium wheeleri","","","",""
"CIWR","Cirsium wrightii A. Gray","","","",""
"CICA22","Cirsium Ã—canalense Petr. [excluded]","","","",""
"CICR4","Cirsium Ã—crassum Petr. [excluded]","","","",""
"CISC2","Cirsium Ã—erosum","","","",""
"CIIO2","Cirsium Ã—iowense","","","",""
"CIVA2","Cirsium Ã—vancouverense J.W. Moore & Frankton","","","",""
"CISSA","Cissampelos L.","","","",""
"CIPA4","Cissampelos pareira L.","","","",""
"CISSU","Cissus L.","","","",""
"AMCO2","Cissus ampelopsis Pers.","","","",""
"CIAN3","Cissus antarctica Venten.","","","",""
"CIOB","Cissus caustica Tussac","","","",""
"CIER","Cissus erosa Rich.","","","",""
"CITR2","Cissus incisa auct. non Des Moulins","","","",""
"CIIN3","Cissus intermedia A. Rich.","","","",""
"CINO","Cissus nodosa Blume","","","",""
"CIOB","Cissus obovata Vahl","","","",""
"CIQU5","Cissus quadrangularis L.","","","",""
"CIRE5","Cissus repens Lam.","","","",""
"CIRH2","Cissus rhombifolia Vahl","","","",""
"CIRO3","Cissus rotundifolia","","","",""
"CIVE3","Cissus sicyoides L.","","","",""
"CITR2","Cissus trifoliata","","","",""
"CITU2","Cissus tuberculata Jacq.","","","",""
"CIVE3","Cissus verticillata","","","",""
"CISTA","Cistanthe Spach","","","",""
"CIAM3","Cistanthe ambigua","","","",""
"CIMA4","Cistanthe maritima","","","",""
"CIMO4","Cistanthe monandra","","","",""
"CIMO5","Cistanthe monosperma","","","",""
"CIPAA","Cistanthe parryi","","","",""
"CIPAH","Cistanthe parryi","","","",""
"CIPAN","Cistanthe parryi","","","",""
"CIPAP","Cistanthe parryi","","","",""
"CIPA7","Cistanthe parryi","","","",""
"CIPU5","Cistanthe pulchella","","","",""
"CIPY","Cistanthe pygmaea","","","",""
"CIQU4","Cistanthe quadripetala","","","",""
"CIRO2","Cistanthe rosea","","","",""
"CITW2","Cistanthe tweedyi","","","",""
"CIUMC","Cistanthe umbellata","","","",""
"CIUM","Cistanthe umbellata","","","",""
"CIUMU","Cistanthe umbellata","","","",""
"CISTU","Cistus L.","","","",""
"CIINC2","Cistus creticus L.","","","",""
"CIIN80","Cistus incanus L.","","","",""
"CIINC","Cistus incanus L. ssp. corsicus","","","",""
"CIINC2","Cistus incanus L. ssp. creticus","","","",""
"CIINI","Cistus incanus L. ssp. incanus","","","",""
"CILA10","Cistus ladanifer L.","","","",""
"CILA10","Cistus ladaniferus L., orth. var.","","","",""
"CIMO7","Cistus monspeliensis L.","","","",""
"CIPU8","Cistus pulverulentus Pourr.","","","",""
"CIPU7","Cistus purpureus Lam., database artifact","","","",""
"CISA","Cistus salviifolius L.","","","",""
"CIINC","Cistus villosus L. var. corsicus","","","",""
"CIINI","Cistus villosus L. var. tauricus Gross.","","","",""
"CIINI","Cistus villosus L. var. undulatus Gross.","","","",""
"CIINI","Cistus villosus auct. non L.","","","",""
"CIPU7","Cistus Ã—purpureus Lam.","","","",""
"CITHA","Citharexylum L.","","","",""
"CIBE","Citharexylum berlandieri B.L. Rob.","","","",""
"CIBR3","Citharexylum brachyanthum","","","",""
"CICA8","Citharexylum caudatum L.","","","",""
"CISP3","Citharexylum fruticosum L.","","","",""
"CISP3","Citharexylum fruticosum L. var. fruticosum","","","",""
"CISP3","Citharexylum fruticosum L. var. smallii Moldenke","","","",""
"CISP3","Citharexylum fruticosum L. var. subvillosum Moldenke","","","",""
"CISP3","Citharexylum fruticosum L. var. villosum","","","",""
"CISP3","Citharexylum pentandrum Vent.","","","",""
"CIBR3","Citharexylum spathulatum Moldenke & Lundell","","","",""
"CISP3","Citharexylum spinosum L.","","","",""
"CITR7","Citharexylum tristachyum Turcz.","","","",""
"CIPE3","Citharexylum Ã—perkinsii Moldenke","","","",""
"CITRU","Citrullus Schrad.","","","",""
"CILAL","Citrullus citrullus","","","",""
"CILAL","Citrullus colocynthis","","","",""
"CICO7","Citrullus colocynthis","","","",""
"CILA3","Citrullus lanatus","","","",""
"CILAL","Citrullus lanatus","","","",""
"CILAC","Citrullus lanatus","","","",""
"CILAC2","Citrullus lanatus","","","",""
"CILAL","Citrullus vulgaris Schrad.","","","",""
"CILAC","Citrullus vulgaris Schrad. var. citroides L.H. Bailey","","","",""
"CITRU2","Citrus L.","","","",""
"CIAU7","Citrus aurantifolia","","","",""
"CIAU7","Citrus aurantiifolia","","","",""
"CISI3","Citrus aurantium L. var. sinensis L.","","","",""
"CIAUA","Citrus aurantium L., database artifact","","","",""
"MIAU4","Citrus australasica F. Muell.","","","",""
"MIAU5","Citrus australis Planch.","","","",""
"CIAUB","Citrus bergamia Risso & Poit.","","","",""
"CIMA5","Citrus decumana","","","",""
"CIMA5","Citrus grandis","","","",""
"CIHY2","Citrus hystrix DC.","","","",""
"CIJA","Citrus jambhiri Lush.","","","",""
"CILI2","Citrus limetta Risso","","","",""
"CILI5","Citrus limon","","","",""
"CILI3","Citrus limonum Risso","","","",""
"CIMA10","Citrus macroptera Lour.","","","",""
"CIMI4","Citrus madurensis auct. non Lour.","","","",""
"CIMA5","Citrus maxima","","","",""
"CIME3","Citrus medica L.","","","",""
"CIMI4","Citrus mitis Blanco","","","",""
"CIRE3","Citrus nobilis Andrews","","","",""
"CINO3","Citrus nobilis Lour.","","","",""
"CIRE3","Citrus reticulata Blanco","","","",""
"CIREU","Citrus reticulata Blanco ssp. unshiu","","","",""
"CISI3","Citrus sinensis","","","",""
"CITA3","Citrus tachibana","","","",""
"CILI3","Citrus taitensis Risso","","","",""
"POTR4","Citrus trifoliata L.","","","",""
"CIAUA","Citrus vulgaris Risso","","","",""
"CIAU7","Citrus Ã—aurantiifolia","","","",""
"CIAU8","Citrus Ã—aurantium L.","","","",""
"CIAUA","Citrus Ã—aurantium L. ssp. aurantium","","","",""
"CIAUB","Citrus Ã—aurantium L. ssp. bergamia","","","",""
"CILI5","Citrus Ã—limon","","","",""
"CILI3","Citrus Ã—limonia Osbeck","","","",""
"CIPA3","Citrus Ã—paradisi Macfad.","","","",""
"CISI3","Citrus Ã—sinensis","","","",""
"CITA","Citrus Ã—tangelo J.W. Ingram & H.E. Moore","","","",""
"CLADI2","Cladidium Hafellner","","","",""
"CLBO6","Cladidium bolanderi","","","",""
"CLBO6","Cladidium thamnitis","","","",""
"CLADI3","Cladina","","","",""
"CLSTA","Cladina aberrans","","","",""
"CLST60","Cladina alpestris","","","",""
"CLARB","Cladina arbuscula","","","",""
"CLAR60","Cladina arbuscula","","","",""
"CLARB","Cladina beringiana","","","",""
"CLCIC","Cladina ciliata","","","",""
"CLCIT","Cladina ciliata","","","",""
"CLCI60","Cladina ciliata","","","",""
"CLCO11","Cladina conspicua Ahti","","","",""
"CLEV","Cladina evansii","","","",""
"CLPO4","Cladina impexa","","","",""
"CLCIC","Cladina leucophaea","","","",""
"CLMI60","Cladina mitis","","","",""
"CLPOP","Cladina pacifica","","","",""
"CLPOP","Cladina portentosa","","","",""
"CLPO4","Cladina portentosa","","","",""
"CLPS3","Cladina pseudoevansii","","","",""
"CLRA60","Cladina rangiferina","","","",""
"CLRA60","Cladina rangiferina","","","",""
"CLSA6","Cladina sandstedei","","","",""
"CLST60","Cladina stellaris","","","",""
"CLSTA","Cladina stellaris","","","",""
"CLST5","Cladina stygia","","","",""
"CLSU6","Cladina submitis","","","",""
"CLSU7","Cladina subtenuis","","","",""
"CLCIT","Cladina tenuis","","","",""
"CLTE9","Cladina terrae-novae","","","",""
"CLADI","Cladium P. Br.","","","",""
"CLCA2","Cladium californicum","","","",""
"CLCO7","Cladium colocasia","","","",""
"CLMAJ","Cladium jamaicense Crantz","","","",""
"CLMAJ","Cladium leptostachyum Nees & Meyen","","","",""
"CLMA","Cladium mariscoides","","","",""
"CLMAJ","Cladium mariscus","","","",""
"CLCA2","Cladium mariscus","","","",""
"CLMA10","Cladium mariscus","","","",""
"MARE2","Cladium restioides","","","",""
"SIMA7","Cladocarpa atollensis","","","",""
"SIMA7","Cladocarpa caumii","","","",""
"SIMA7","Cladocarpa lamoureuxii","","","",""
"SIMA7","Cladocarpa maximowiczii","","","",""
"SIMA7","Cladocarpa niihauensis","","","",""
"SISE5","Cladocarpa semitonsa","","","",""
"CLADO3","Cladonia P. Browne","","","",""
"CLAB","Cladonia abbreviatula G. Merr.","","","",""
"CLSTA","Cladonia aberrans","","","",""
"CLAC60","Cladonia acuminata","","","",""
"CLAC60","Cladonia acuminata","","","",""
"CLAL60","Cladonia alaskana A. Evans","","","",""
"CLAL11","Cladonia albonigra Brodo & Ahti","","","",""
"CLAL12","Cladonia alinii Trass","","","",""
"CLST60","Cladonia alpestris","","","",""
"CLMA13","Cladonia alpicola","","","",""
"CLAM60","Cladonia amaurocraea","","","",""
"CLAN5","Cladonia andereggii S. Hammer","","","",""
"CLAN3","Cladonia anitae W.L. Culb. & C.F. Culb.","","","",""
"CLRA2","Cladonia anomaea","","","",""
"CLAP2","Cladonia apodocarpa Robbins","","","",""
"CLMI60","Cladonia arbuscula","","","",""
"CLAR60","Cladonia arbuscula","","","",""
"CLAR9","Cladonia artuata S. Hammer","","","",""
"CLAS5","Cladonia asahinae J.W. Thomson","","","",""
"CLAT2","Cladonia atlantica A. Evans","","","",""
"CLMAB","Cladonia bacillaris Genth","","","",""
"CLBA3","Cladonia bacilliformis","","","",""
"CLMA11","Cladonia balfourii Crombie","","","",""
"CLSU9","Cladonia balfourii auct.","","","",""
"CLBE3","Cladonia beaumontii","","","",""
"CLBE4","Cladonia bellidiflora","","","",""
"CLCO12","Cladonia blakei Robbins","","","",""
"CLBO7","Cladonia borealis S. Stenroos","","","",""
"CLBO60","Cladonia boryi Tuck.","","","",""
"CLBO8","Cladonia botryocarpa G. Merr.","","","",""
"CLBO9","Cladonia botrytes","","","",""
"CLBR4","Cladonia brevis","","","",""
"CLBU2","Cladonia buckii R.C. Harris","","","",""
"CLCA8","Cladonia caespiticia","","","",""
"CLRA5","Cladonia calycantha Delise ex Nyl.","","","",""
"CLPE7","Cladonia capitata","","","",""
"CLCA9","Cladonia cariosa","","","",""
"CLCA10","Cladonia carneola","","","",""
"CLCA11","Cladonia caroliniana Tuck.","","","",""
"CLCE2","Cladonia cenotea","","","",""
"CLCEC","Cladonia cervicornis","","","",""
"CLCE3","Cladonia cervicornis","","","",""
"CLCEV60","Cladonia cervicornis","","","",""
"CLCH3","Cladonia chlorophaea","","","",""
"CLSO4","Cladonia clavulifera Vain.","","","",""
"CLCO12","Cladonia coccifera","","","",""
"CLCO13","Cladonia coniocraea auct.","","","",""
"CLCO20","Cladonia conista A. Evans","","","",""
"CLHU","Cladonia conistea","","","",""
"CLHU","Cladonia conoidea Ahti","","","",""
"CLCOG2","Cladonia cornuta","","","",""
"CLCOC3","Cladonia cornuta","","","",""
"CLCO19","Cladonia cornuta","","","",""
"CLSU63","Cladonia cornutoradiata","","","",""
"CLCRC","Cladonia crispata","","","",""
"CLCR5","Cladonia crispata","","","",""
"CLCRC2","Cladonia crispata","","","",""
"CLCR2","Cladonia cristatella Tuck.","","","",""
"CLCR3","Cladonia cryptochlorophaea Asah.","","","",""
"CLCY3","Cladonia cyanipes","","","",""
"CLCY4","Cladonia cylindrica","","","",""
"CLDA2","Cladonia dactylota Tuck.","","","",""
"CLDA3","Cladonia dahliana Kristinsson","","","",""
"CLDE5","Cladonia decorticata","","","",""
"CLDE60","Cladonia deformis","","","",""
"CLSU60","Cladonia delessertii Vain.","","","",""
"CLPA13","Cladonia delicata auct.","","","",""
"CLPH60","Cladonia denergans","","","",""
"CLDI9","Cladonia didyma","","","",""
"CLDIV","Cladonia didyma","","","",""
"CLDI10","Cladonia digitata","","","",""
"CLDI11","Cladonia dimorpha S. Hammer","","","",""
"CLDI12","Cladonia dimorphoclada Robbins","","","",""
"CLEC","Cladonia ecmocyna Leight.","","","",""
"CLECE","Cladonia ecmocyna Leight. ssp. ecmocyna","","","",""
"CLECI","Cladonia ecmocyna Leight. ssp. intermedia","","","",""
"CLECO","Cladonia ecmocyna Leight. ssp. occidentalis Ahti","","","",""
"CLGRE","Cladonia elongata","","","",""
"CLEV","Cladonia evansii Abbayes","","","",""
"CLEX4","Cladonia extracorticata S. Hammer","","","",""
"CLFA3","Cladonia farinacea","","","",""
"CLFI2","Cladonia fimbriata","","","",""
"CLFI4","Cladonia firma","","","",""
"CLFL5","Cladonia floerkeana","","","",""
"CLFL6","Cladonia floridana Vain.","","","",""
"CLFUS","Cladonia furcata","","","",""
"CLFU3","Cladonia furcata","","","",""
"CLFU3","Cladonia furcata","","","",""
"CLGL5","Cladonia glauca FlÃ¶rke","","","",""
"CLSU64","Cladonia gonecha","","","",""
"CLST7","Cladonia gracilescens auct.","","","",""
"CLGR12","Cladonia graciliformis Zahlbr.","","","",""
"CLGRV","Cladonia gracilis","","","",""
"CLGR13","Cladonia gracilis","","","",""
"CLGRE","Cladonia gracilis","","","",""
"CLGRG3","Cladonia gracilis","","","",""
"CLGRE","Cladonia gracilis","","","",""
"CLGRT2","Cladonia gracilis","","","",""
"CLGR6","Cladonia granulans Vain.","","","",""
"CLGR7","Cladonia grayi G. Merr. ex Sandst.","","","",""
"CLFU3","Cladonia herrei Fink ex J. Hedrick","","","",""
"CLHO3","Cladonia homosekikaica Nuno","","","",""
"CLBE4","Cladonia hookeri Tuck.","","","",""
"CLGR12","Cladonia hookeri sensu J.W. Thomson","","","",""
"CLHU","Cladonia humilis","","","",""
"CLCO20","Cladonia humilis","","","",""
"CLHY","Cladonia hypoxantha Tuck.","","","",""
"CLIM2","Cladonia imbricaria Kristinsson","","","",""
"CLPO4","Cladonia impexa Harm.","","","",""
"CLIN3","Cladonia incrassata FlÃ¶rke","","","",""
"CLOC60","Cladonia invisa Robbins","","","",""
"CLCRC","Cladonia japonica Vain.","","","",""
"CLKA3","Cladonia kanewskii Oksner","","","",""
"CLLA8","Cladonia labradorica Ahti & Brodo","","","",""
"CLST7","Cladonia lepidota auct.","","","",""
"CLLE4","Cladonia leporina Fr.","","","",""
"CLPE7","Cladonia leptothallina G. Merr.","","","",""
"CLCIC","Cladonia leucophaea Abbayes","","","",""
"GYLI","Cladonia linearis A. Evans","","","",""
"CLLU3","Cladonia luteoalba Wheldon & A. Wilson","","","",""
"CLMA11","Cladonia macilenta Hoffm.","","","",""
"CLMAB","Cladonia macilenta Hoffm. var. bacillaris","","","",""
"CLMA12","Cladonia macroceras","","","",""
"CLMA13","Cladonia macrophylla","","","",""
"CLMA14","Cladonia macrophyllodes Nyl.","","","",""
"CLSC60","Cladonia macroptera Rasanen","","","",""
"CLMA16","Cladonia magyarica Vain.","","","",""
"CLFI2","Cladonia major","","","",""
"CLMA17","Cladonia mateocyatha Robbins","","","",""
"CLMA18","Cladonia maxima","","","",""
"CLME3","Cladonia merochlorophaea Asah.","","","",""
"CLNO3","Cladonia merochlorophaea Asah. var. novochlorophaea Sipman","","","",""
"CLME60","Cladonia metacorallifera Asah.","","","",""
"CLMI60","Cladonia mitis Sandst.","","","",""
"CLPE7","Cladonia mitrula Tuck.","","","",""
"CLMU60","Cladonia multiformis G. Merr.","","","",""
"CLNA4","Cladonia nana Vain.","","","",""
"CLRE60","Cladonia nemoxyna","","","",""
"CLNI4","Cladonia nipponica Asah.","","","",""
"CLAC60","Cladonia norrlinii Vain.","","","",""
"CLNO2","Cladonia norvegica TÃ¸nsberg & Holien","","","",""
"CLNO3","Cladonia novochlorophaea","","","",""
"CLOC60","Cladonia ochrochlora FlÃ¶rke","","","",""
"CLPA9","Cladonia pachycladodes Vain.","","","",""
"CLPOP","Cladonia pacifica Ahti","","","",""
"PYPA3","Cladonia papillaria","","","",""
"CLPA13","Cladonia parasitica","","","",""
"CLPE5","Cladonia perforata A. Evans","","","",""
"CLPE6","Cladonia perlomera Kristinsson","","","",""
"CLPE7","Cladonia peziziformis","","","",""
"CLPH60","Cladonia phyllophora Hoffm.","","","",""
"CLPI3","Cladonia piedmontensis G. Merr.","","","",""
"CLRA2","Cladonia pityrea","","","",""
"CLPL60","Cladonia pleurota","","","",""
"CLPO60","Cladonia pocillum","","","",""
"CLPO5","Cladonia polycarpia G. Merr.","","","",""
"CLPO6","Cladonia polycarpoides Nyl.","","","",""
"CLUM4","Cladonia polydactyla","","","",""
"CLPO9","Cladonia poroscypha S. Hammer","","","",""
"CLPR2","Cladonia prolifica Ahti & S. Hammer","","","",""
"CLPR3","Cladonia prostrata A. Evans","","","",""
"CLCO12","Cladonia pseudodigitata Gyel.","","","",""
"CLPS3","Cladonia pseudoevansii Asah.","","","",""
"CLWA5","Cladonia pseudorangiformis Asah.","","","",""
"CLUN60","Cladonia pseudostellata Asah.","","","",""
"CLPS5","Cladonia psoromica J.P. Dey","","","",""
"CLPU5","Cladonia pulvinella S. Hammer","","","",""
"CLPY60","Cladonia pyxidata","","","",""
"CLRA2","Cladonia ramulosa","","","",""
"CLRA60","Cladonia rangiferina","","","",""
"CLRA5","Cladonia rappii A. Evans","","","",""
"CLRA5","Cladonia rappii A. Evans var. exilior","","","",""
"CLRA3","Cladonia ravenelii Tuck.","","","",""
"CLRE60","Cladonia rei Schaerer","","","",""
"CLRO7","Cladonia robbinsii A. Evans","","","",""
"CLSA6","Cladonia sandstedei Abbayes","","","",""
"CLSA7","Cladonia santensis Tuck.","","","",""
"CLSC60","Cladonia scabriuscula","","","",""
"CLSC3","Cladonia schofieldii Ahti & Brodo","","","",""
"CLSI5","Cladonia simulata Robbins","","","",""
"CLSI6","Cladonia singularis S. Hammer","","","",""
"CLSO4","Cladonia sobolescens Nyl. ex Vain.","","","",""
"CLSQS","Cladonia squamosa","","","",""
"CLSQ60","Cladonia squamosa","","","",""
"CLST60","Cladonia stellaris","","","",""
"CLST6","Cladonia strepsilis","","","",""
"CLSTU","Cladonia stricta","","","",""
"CLST7","Cladonia stricta","","","",""
"CLST5","Cladonia stygia","","","",""
"CLPO6","Cladonia subcariosa auct.","","","",""
"CLSU60","Cladonia subfurcata","","","",""
"CLSU6","Cladonia submitis A. Evans","","","",""
"CLSU9","Cladonia subradiata","","","",""
"CLFU3","Cladonia subrangiformis auct. N. Am.","","","",""
"CLSU10","Cladonia subsetacea Robbins ex A. Evans","","","",""
"CLSQS","Cladonia subsquamosa","","","",""
"CLSU62","Cladonia subsquamosa Krempelh.","","","",""
"CLSU7","Cladonia subtenuis","","","",""
"CLSU63","Cladonia subulata","","","",""
"CLSU64","Cladonia sulphurina","","","",""
"CLAR60","Cladonia sylvatica auct.","","","",""
"CLSY61","Cladonia symphycarpa","","","",""
"CLCIT","Cladonia tenuis","","","",""
"CLTE9","Cladonia terrae-novae Ahti","","","",""
"CLTH2","Cladonia thiersii S. Hammer","","","",""
"CLTH60","Cladonia thomsonii Ahti","","","",""
"CLTR60","Cladonia transcendens","","","",""
"CLTU60","Cladonia turgida Hoffm.","","","",""
"CLUM4","Cladonia umbricola TÃ¸nsberg & Ahti","","","",""
"CLUN60","Cladonia uncialis","","","",""
"CLVE4","Cladonia verruculosa","","","",""
"CLCEV60","Cladonia verticillata","","","",""
"CLDIV","Cladonia vulcanica Zoll. & Moritzi","","","",""
"CLWA5","Cladonia wainioi Savicz","","","",""
"CLADO2","Cladopodiella H. Buch","","","",""
"CLFL9","Cladopodiella fluitans","","","",""
"CLFR5","Cladopodiella francisci","","","",""
"CLADO","Cladoraphis Franch.","","","",""
"CLCY2","Cladoraphis cyperoides","","","",""
"ELPY","Cladothamnus pyroliflorus Bong.","","","",""
"TILA2","Cladothrix lanuginosa Nutt.","","","",""
"CLADR","Cladrastis Raf.","","","",""
"CLKE","Cladrastis kentukea","","","",""
"CLKE","Cladrastis lutea","","","",""
"CLAOP","Claopodium","","","",""
"CLBO10","Claopodium bolanderi Best","","","",""
"CLCR4","Claopodium crispifolium","","","",""
"CLPE8","Claopodium pellucinerve","","","",""
"CLPE8","Claopodium subpiliferum","","","",""
"CLWH","Claopodium whippleanum","","","",""
"CLWH","Claopodium whippleanum","","","",""
"CLAOX","Claoxylon A. Juss.","","","",""
"CLFA6","Claoxylon fallax MÃ¼ll. Arg.","","","",""
"CLSA","Claoxylon helleri Sherff","","","",""
"CLLO5","Claoxylon longiracemosum Hosok.","","","",""
"CLMA25","Claoxylon marianum MÃ¼ll. Arg.","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg.","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg. var. degeneri Sherff","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg. var. glabrescens","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg. var. hillebrandii Sherff","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg. var. magnifolium Sherff","","","",""
"CLSA","Claoxylon sandwicense MÃ¼ll. Arg. var. tomentosum Hillebr.","","","",""
"CLAPP2","Clappertonia Meissner","","","",""
"CLFI3","Clappertonia ficifolia","","","",""
"CLPO8","Clappertonia polyandra","","","",""
"CLAPP","Clappia A. Gray","","","",""
"CLSU","Clappia suaedifolia A. Gray","","","",""
"CLARK","Clarkia Pursh","","","",""
"CLAF","Clarkia affinis F.H. Lewis & M.E. Lewis","","","",""
"CLAMW","Clarkia amoena","","","",""
"CLAMC","Clarkia amoena","","","",""
"CLAMC","Clarkia amoena","","","",""
"CLAM","Clarkia amoena","","","",""
"CLAMA","Clarkia amoena","","","",""
"CLAMC","Clarkia amoena","","","",""
"CLAMH","Clarkia amoena","","","",""
"CLAML","Clarkia amoena","","","",""
"CLAML","Clarkia amoena","","","",""
"CLAR","Clarkia arcuata","","","",""
"CLAU2","Clarkia australis E. Small","","","",""
"CLBIA","Clarkia biloba","","","",""
"CLBI","Clarkia biloba","","","",""
"CLBIB","Clarkia biloba","","","",""
"CLBIB2","Clarkia biloba","","","",""
"CLBO4","Clarkia borealis E. Small","","","",""
"CLBOA","Clarkia borealis E. Small ssp. arida E. Small","","","",""
"CLBOB","Clarkia borealis E. Small ssp. borealis","","","",""
"CLBO","Clarkia bottae","","","",""
"CLBR","Clarkia breweri","","","",""
"CLTEC","Clarkia calientensis Vasek","","","",""
"CLCOC","Clarkia concinna","","","",""
"CLCOR","Clarkia concinna","","","",""
"CLCO","Clarkia concinna","","","",""
"CLCOA","Clarkia concinna","","","",""
"CLCY","Clarkia cylindrica","","","",""
"CLCYC2","Clarkia cylindrica","","","",""
"CLCYC","Clarkia cylindrica","","","",""
"CLDA","Clarkia davyi","","","",""
"CLBO","Clarkia deflexa","","","",""
"CLDE2","Clarkia delicata","","","",""
"CLDU","Clarkia dudleyana","","","",""
"CLUN","Clarkia elegans Douglas","","","",""
"CLEP","Clarkia epilobioides","","","",""
"CLEX","Clarkia exilis F.H. Lewis & Vasek","","","",""
"CLFR3","Clarkia franciscana F.H Lewis & P.H. Raven","","","",""
"CLGRS","Clarkia gracilis","","","",""
"CLGR","Clarkia gracilis","","","",""
"CLGRA","Clarkia gracilis","","","",""
"CLGRG2","Clarkia gracilis","","","",""
"CLGRT","Clarkia gracilis","","","",""
"CLHE4","Clarkia heterandra","","","",""
"CLIM","Clarkia imbricata F.H. Lewis & M.E. Lewis","","","",""
"CLJO2","Clarkia jolonensis Parnell","","","",""
"CLLA","Clarkia lassenensis","","","",""
"CLLE2","Clarkia lewisii P.H. Raven & Parnell","","","",""
"CLLI","Clarkia lingulata F.H. Lewis & M.E. Lewis","","","",""
"CLMIM","Clarkia mildrediae","","","",""
"CLMIL3","Clarkia mildrediae","","","",""
"CLMI","Clarkia mildrediae","","","",""
"CLMO","Clarkia modesta Jeps.","","","",""
"CLMO3","Clarkia mosquinii E. Small","","","",""
"CLMO3","Clarkia mosquinii E. Small ssp. xerophila E. Small","","","",""
"CLSPN","Clarkia nitens F.H. Lewis & M.E. Lewis","","","",""
"CLXAP","Clarkia parviflora Eastw.","","","",""
"CLPR","Clarkia prostrata F.H. Lewis & M.E. Lewis","","","",""
"CLPU","Clarkia pulchella Pursh","","","",""
"CLPUV","Clarkia purpurea","","","",""
